 Geometric_Alt[ft]    Geopotential_Alt[ft]   Temperature[R]     Pressure[lbf/ft^2]    Density[slugs/ft^3]    Speed of Sound[ft/s]
  0.000000000000e+00   0.000000000000e+00   5.186700000000e+02   2.116216630934e+03   2.376893011238e-03   1.116449955822e+03
  5.000000000000e+03   4.998801564572e+03   5.008434738125e+02   1.760872894141e+03   2.048172962100e-03   1.097096187653e+03
  1.000000000000e+04   9.995207407009e+03   4.830254911534e+02   1.455602173603e+03   1.755550327838e-03   1.077404342741e+03
  1.500000000000e+04   1.498921924916e+04   4.652160458824e+02   1.194788737473e+03   1.496156673539e-03   1.057355525585e+03
  2.000000000000e+04   1.998083881121e+04   4.474151318650e+02   9.732746773152e+02   1.267259032936e-03   1.036929023320e+03
  2.500000000000e+04   2.497006781173e+04   4.296227429725e+02   7.863374367668e+02   1.066258063563e-03   1.016102051362e+03
  3.000000000000e+04   2.995690796760e+04   4.118388730823e+02   6.296676913797e+02   8.906861777874e-04   9.948494513783e+02
  3.500000000000e+04   3.494136099408e+04   3.940635160773e+02   4.993475827091e+02   7.382056475562e-04   9.731433301836e+02
  4.000000000000e+04   3.992342860480e+04   3.899700000000e+02   3.931277456411e+02   5.872771954580e-04   9.680756480696e+02
  4.500000000000e+04   4.490311251174e+04   3.899700000000e+02   3.094491638175e+02   4.622732408958e-04   9.680756480696e+02
  5.000000000000e+04   4.988041442522e+04   3.899700000000e+02   2.436097421149e+02   3.639184659994e-04   9.680756480696e+02
  5.500000000000e+04   5.485533605396e+04   3.899700000000e+02   1.918004739033e+02   2.865227541184e-04   9.680756480696e+02
  6.000000000000e+04   5.982787910502e+04   3.899700000000e+02   1.510269143836e+02   2.256128286576e-04   9.680756480696e+02
  6.500000000000e+04   6.479804528385e+04   3.899700000000e+02   1.189347152444e+02   1.776716265534e-04   9.680756480696e+02
  7.000000000000e+04   6.976583629425e+04   3.922463284245e+02   9.372690818629e+01   1.392021821839e-04   9.708969569834e+02
  7.500000000000e+04   7.473125383839e+04   3.949705551059e+02   7.399040076744e+01   1.091317950994e-04   9.742626568913e+02
  8.000000000000e+04   7.969429961684e+04   3.976934805418e+02   5.851145003474e+01   8.571030272135e-05   9.776151702029e+02
  8.500000000000e+04   8.465497532852e+04   4.004151056642e+02   4.635003566581e+01   6.743420772415e-05   9.809546332598e+02
  9.000000000000e+04   8.961328267074e+04   4.031354314045e+02   3.677837840392e+01   5.314742731557e-05   9.842811800291e+02
  9.500000000000e+04   9.456922333919e+04   4.058544586928e+02   2.923197465803e+01   4.195932293064e-05   9.875949421619e+02
  1.000000000000e+05   9.952279902794e+04   4.085721884587e+02   2.327216538808e+01   3.318246411644e-05   9.908960490486e+02
  1.050000000000e+05   1.044740114294e+05   4.112886216306e+02   1.855746706101e+01   2.628528214857e-05   9.941846278736e+02
  1.100000000000e+05   1.094228622345e+05   4.183845255818e+02   1.483728004251e+01   2.065947685852e-05   1.002724215138e+03
  1.150000000000e+05   1.143693531324e+05   4.259832853272e+02   1.191183309640e+01   1.629020991327e-05   1.011789051617e+03
  1.200000000000e+05   1.193134858107e+05   4.335784223945e+02   9.601377713538e+00   1.290049972251e-05   1.020769127840e+03
  1.250000000000e+05   1.242552619554e+05   4.411699393739e+02   7.768876930326e+00   1.025871509278e-05   1.029666664501e+03
  1.300000000000e+05   1.291946832510e+05   4.487578388528e+02   6.309499381279e+00   8.190746668570e-06   1.038483786149e+03
  1.350000000000e+05   1.341317513802e+05   4.563421234163e+02   5.142670793523e+00   6.565061589012e-06   1.047222526919e+03
  1.400000000000e+05   1.390664680242e+05   4.639227956471e+02   4.206177962231e+00   5.281807517731e-06   1.055884835848e+03
  1.450000000000e+05   1.439988348626e+05   4.714998581253e+02   3.451772505056e+00   4.264825225601e-06   1.064472581776e+03
  1.500000000000e+05   1.489288535734e+05   4.790733134287e+02   2.841876455944e+00   3.455762235133e-06   1.072987557905e+03
  1.550000000000e+05   1.538565258330e+05   4.866431641325e+02   2.347101575701e+00   2.809712589294e-06   1.081431486023e+03
  1.600000000000e+05   1.587818533162e+05   4.871700000000e+02   1.941921149103e+00   2.322157619272e-06   1.082016702073e+03
  1.650000000000e+05   1.637048376962e+05   4.871700000000e+02   1.606843386787e+00   1.921470197350e-06   1.082016702073e+03
  1.700000000000e+05   1.686254806445e+05   4.871700000000e+02   1.329702945462e+00   1.590064471773e-06   1.082016702073e+03
  1.750000000000e+05   1.735437838313e+05   4.839438768775e+02   1.100047463660e+00   1.324210613304e-06   1.078428101224e+03
