 Geometric_Alt[m]      Geopotential_Alt[m]     Temperature[K]      Pressure[N/m^2]      Density[kg/m^3]      Speed of Sound[m/s]
  0.000000000000e+00   0.000000000000e+00   2.881500000000e+02   1.013250000000e+05   1.225000316850e+00   3.402939465345e+02
  2.000000000000e+03   1.999370947130e+03   2.751540888437e+02   7.950141619798e+04   1.006554064010e+00   3.325315808876e+02
  4.000000000000e+03   3.997484579687e+03   2.621663502320e+02   6.166043072031e+04   8.193469069749e-01   3.245886918237e+02
  6.000000000000e+03   5.994342083302e+03   2.491867764585e+02   4.721762668917e+04   6.601116155205e-01   3.164516814105e+02
  8.000000000000e+03   7.989944642113e+03   2.362153598263e+02   3.565161202991e+04   5.257862811227e-01   3.081051648668e+02
  1.000000000000e+04   9.984293438773e+03   2.232520926480e+02   2.649988257685e+04   4.135105779535e-01   2.995316237405e+02
  1.200000000000e+04   1.197738965445e+04   2.166500000000e+02   1.939943444031e+04   3.119382189129e-01   2.950694575316e+02
  1.400000000000e+04   1.396923446882e+04   2.166500000000e+02   1.417036663336e+04   2.278560719157e-01   2.950694575316e+02
  1.600000000000e+04   1.595982906010e+04   2.166500000000e+02   1.035282145867e+04   1.664708678224e-01   2.950694575316e+02
  1.800000000000e+04   1.794917460500e+04   2.166500000000e+02   7.565225896033e+03   1.216470046559e-01   2.950694575316e+02
  2.000000000000e+04   1.993727227877e+04   2.166500000000e+02   5.529304851095e+03   8.890988613015e-02   2.950694575316e+02
  2.200000000000e+04   2.192412325519e+04   2.185741232552e+02   4.047494316872e+03   6.450980292501e-02   2.963768542298e+02
  2.400000000000e+04   2.390972870655e+04   2.205597287066e+02   2.971742215437e+03   4.693784293299e-02   2.977200073382e+02
  2.600000000000e+04   2.589408980370e+04   2.225440898037e+02   2.188373791175e+03   3.425655233592e-02   2.990562919289e+02
  2.800000000000e+04   2.787720771599e+04   2.245272077160e+02   1.616194857489e+03   2.507627117858e-02   3.003858004492e+02
  3.000000000000e+04   2.985908361133e+04   2.265090836113e+02   1.197029314000e+03   1.841015205296e-02   3.017086232551e+02
  3.200000000000e+04   3.183971865615e+04   2.284897186562e+02   8.890625735517e+02   1.355513595963e-02   3.030248486775e+02
  3.400000000000e+04   3.381911401544e+04   2.337435192432e+02   6.634115867263e+02   9.887390489959e-03   3.064888649737e+02
  3.600000000000e+04   3.579727085271e+04   2.392823583876e+02   4.985215637990e+02   7.257908365474e-03   3.100989186567e+02
  3.800000000000e+04   3.777419033003e+04   2.448177329241e+02   3.771375952333e+02   5.366549852887e-03   3.136652068938e+02
  4.000000000000e+04   3.974987360801e+04   2.503496461024e+02   2.871432179153e+02   3.995671664113e-03   3.171892079655e+02
  4.200000000000e+04   4.172432184581e+04   2.558781011683e+02   2.199666356780e+02   2.994759186309e-03   3.206723180423e+02
  4.400000000000e+04   4.369753620114e+04   2.614031013632e+02   1.694959222059e+02   2.258846559760e-03   3.241158574414e+02
  4.600000000000e+04   4.566951783026e+04   2.669246499247e+02   1.313402708483e+02   1.714144534418e-03   3.275210762835e+02
  4.800000000000e+04   4.764026788801e+04   2.706500000000e+02   1.022953250438e+02   1.316697368988e-03   3.297986907918e+02
  5.000000000000e+04   4.960978752775e+04   2.706500000000e+02   7.977884333984e+01   1.026875793996e-03   3.297986907918e+02
  5.200000000000e+04   5.157807790142e+04   2.706500000000e+02   6.222817609589e+01   8.009718499579e-04   3.297986907918e+02
  5.400000000000e+04   5.354514015954e+04   2.675597196809e+02   4.849159248421e+01   6.313699778892e-04   3.279104654967e+02
  5.600000000000e+04   5.551097545115e+04   2.636280490977e+02   3.765709546786e+01   4.976149461047e-04   3.254923002359e+02
  5.800000000000e+04   5.747558492391e+04   2.596988301522e+02   2.913714807379e+01   3.908546294333e-04   3.230575597207e+02
  6.000000000000e+04   5.943896972400e+04   2.557720605520e+02   2.246052601411e+01   3.059180013803e-04   3.206058648879e+02
  6.200000000000e+04   6.140113099621e+04   2.510454760152e+02   1.724560729179e+01   2.393119057867e-04   3.176297050726e+02
  6.400000000000e+04   6.336206988387e+04   2.432017204645e+02   1.315034263711e+01   1.883686556456e-04   3.126282596852e+02
  6.600000000000e+04   6.532178752892e+04   2.353628498843e+02   9.940593321981e+00   1.471338520786e-04   3.075486808708e+02
  6.800000000000e+04   6.728028507186e+04   2.275288597126e+02   7.444753990613e+00   1.139861469233e-04   3.023870281044e+02
  7.000000000000e+04   6.923756365177e+04   2.196997453929e+02   5.520404605423e+00   8.753456309614e-05   2.971390211737e+02
