 Geometric_Alt[ft]    Geopotential_Alt[ft]   Temperature[R]     Pressure[lbf/ft^2]    Density[slugs/ft^3]    Speed of Sound[ft/s]
  0.000000000000e+00   0.000000000000e+00   5.186700000000e+02   2.116216194750e+03   2.376892614790e-03   1.116449955822e+03
  5.000000000000e+03   4.998801564572e+03   5.008434738125e+02   1.760872531199e+03   2.048172620480e-03   1.097096187653e+03
  1.000000000000e+04   9.995207407009e+03   4.830254911534e+02   1.455601873582e+03   1.755550035025e-03   1.077404342741e+03
  1.500000000000e+04   1.498921924916e+04   4.652160458824e+02   1.194788491209e+03   1.496156423991e-03   1.057355525585e+03
  2.000000000000e+04   1.998083881121e+04   4.474151318650e+02   9.732744767086e+02   1.267258821567e-03   1.036929023320e+03
  2.500000000000e+04   2.497006781173e+04   4.296227429725e+02   7.863372746908e+02   1.066257885719e-03   1.016102051362e+03
  3.000000000000e+04   2.995690796760e+04   4.118388730823e+02   6.296675615957e+02   8.906860292276e-04   9.948494513783e+02
  3.500000000000e+04   3.494136099408e+04   3.940635160773e+02   4.993474797861e+02   7.382055244290e-04   9.731433301836e+02
  4.000000000000e+04   3.992342860480e+04   3.899700000000e+02   3.931276646116e+02   5.872770975046e-04   9.680756480696e+02
  4.500000000000e+04   4.490311251174e+04   3.899700000000e+02   3.094491000353e+02   4.622731637920e-04   9.680756480696e+02
  5.000000000000e+04   4.988041442522e+04   3.899700000000e+02   2.436096919033e+02   3.639184053005e-04   9.680756480696e+02
  5.500000000000e+04   5.485533605396e+04   3.899700000000e+02   1.918004343703e+02   2.865227063285e-04   9.680756480696e+02
  6.000000000000e+04   5.982787910502e+04   3.899700000000e+02   1.510268832547e+02   2.256127910270e-04   9.680756480696e+02
  6.500000000000e+04   6.479804528385e+04   3.899700000000e+02   1.189346907302e+02   1.776715969191e-04   9.680756480696e+02
  7.000000000000e+04   6.976583629425e+04   3.922463284245e+02   9.372688886776e+01   1.392021589660e-04   9.708969569834e+02
  7.500000000000e+04   7.473125383839e+04   3.949705551059e+02   7.399038551691e+01   1.091317768971e-04   9.742626568913e+02
  8.000000000000e+04   7.969429961684e+04   3.976934805418e+02   5.851143797465e+01   8.571028842551e-05   9.776151702029e+02
  8.500000000000e+04   8.465497532852e+04   4.004151056642e+02   4.635002611237e+01   6.743419647662e-05   9.809546332598e+02
  9.000000000000e+04   8.961328267074e+04   4.031354314045e+02   3.677837082334e+01   5.314741845097e-05   9.842811800291e+02
  9.500000000000e+04   9.456922333919e+04   4.058544586928e+02   2.923196863288e+01   4.195931593214e-05   9.875949421619e+02
  1.000000000000e+05   9.952279902794e+04   4.085721884587e+02   2.327216059134e+01   3.318245858185e-05   9.908960490486e+02
  1.050000000000e+05   1.044740114294e+05   4.112886216306e+02   1.855746323604e+01   2.628527776438e-05   9.941846278736e+02
  1.100000000000e+05   1.094228622345e+05   4.183845255818e+02   1.483727698432e+01   2.065947341267e-05   1.002724215138e+03
  1.150000000000e+05   1.143693531324e+05   4.259832853272e+02   1.191183064119e+01   1.629020719618e-05   1.011789051617e+03
  1.200000000000e+05   1.193134858107e+05   4.335784223945e+02   9.601375734549e+00   1.290049757080e-05   1.020769127840e+03
  1.250000000000e+05   1.242552619554e+05   4.411699393739e+02   7.768875329044e+00   1.025871338170e-05   1.029666664501e+03
  1.300000000000e+05   1.291946832510e+05   4.487578388528e+02   6.309498080797e+00   8.190745302415e-06   1.038483786149e+03
  1.350000000000e+05   1.341317513802e+05   4.563421234163e+02   5.142669733541e+00   6.565060494009e-06   1.047222526919e+03
  1.400000000000e+05   1.390664680242e+05   4.639227956471e+02   4.206177095275e+00   5.281806636764e-06   1.055884835848e+03
  1.450000000000e+05   1.439988348626e+05   4.714998581253e+02   3.451771793594e+00   4.264824514260e-06   1.064472581776e+03
  1.500000000000e+05   1.489288535734e+05   4.790733134287e+02   2.841875870191e+00   3.455761658738e-06   1.072987557905e+03
  1.550000000000e+05   1.538565258330e+05   4.866431641325e+02   2.347101091929e+00   2.809712120655e-06   1.081431486023e+03
  1.600000000000e+05   1.587818533162e+05   4.871700000000e+02   1.941920748844e+00   2.322157231954e-06   1.082016702073e+03
  1.650000000000e+05   1.637048376962e+05   4.871700000000e+02   1.606843055593e+00   1.921469876863e-06   1.082016702073e+03
  1.700000000000e+05   1.686254806445e+05   4.871700000000e+02   1.329702671390e+00   1.590064206562e-06   1.082016702073e+03
  1.750000000000e+05   1.735437838313e+05   4.839438768775e+02   1.100047236924e+00   1.324210392435e-06   1.078428101224e+03
