  Time[s]              u[ft/s]             w[ft/s]               q[rad/s]             x[ft]                z[ft]                theta[rad]
  0.000000000000e+00   2.100000000000e+02   0.000000000000e+00   0.000000000000e+00  1.037311141522e-311  -5.000000000000e+00   8.726646259972e-02
  1.000000000000e-02   2.097035629952e+02   3.199429930848e-01  -5.350419934524e-04   2.090671422600e+00  -5.181302011508e+00   8.726467549148e-02
  2.000000000000e-02   2.094076063257e+02   6.372634047890e-01  -2.124045966482e-03   4.178671342417e+00  -5.359156868232e+00   8.725224656861e-02
  3.000000000000e-02   2.091118709528e+02   9.497976416473e-01  -4.737689996634e-03   6.264002720620e+00  -5.533568788613e+00   8.721877721012e-02
  4.000000000000e-02   2.088161272688e+02   1.255462390418e+00  -8.340106623542e-03   8.346665818992e+00  -5.704541741218e+00   8.715419506539e-02
  5.000000000000e-02   2.085201806432e+02   1.552267357771e+00  -1.288928918269e-02   1.042665840419e+01  -5.872079464468e+00   8.704881750721e-02
  6.000000000000e-02   2.082238758625e+02   1.838327031979e+00  -1.833753153971e-02   1.250397601497e+01  -6.036185492538e+00   8.689341085145e-02
  7.000000000000e-02   2.079271003840e+02   2.111871401825e+00  -2.463189739494e-02   1.457861228339e+01  -6.196863186707e+00   8.667924502813e-02
  8.000000000000e-02   2.076297863564e+02   2.371255576823e+00  -3.171471512081e-02   1.665055929970e+01  -6.354115771288e+00   8.639814342853e-02
  9.000000000000e-02   2.073319113964e+02   2.614968262560e+00  -3.952409391946e-02   1.871980801008e+01  -6.507946373034e+00   8.604252769354e-02
  1.000000000000e-01   2.070334981466e+02   2.841639055535e+00  -4.799445695235e-02   2.078634863547e+01  -6.658358062824e+00   8.560545725210e-02
  1.100000000000e-01   2.067346126699e+02   3.050044532916e+00  -5.705708700486e-02   2.285017110017e+01  -6.805353898318e+00   8.508066346180e-02
  1.200000000000e-01   2.064353617664e+02   3.239113124038e+00  -6.664068021267e-02   2.491126545838e+01  -6.948936966226e+00   8.446257824892e-02
  1.300000000000e-01   2.061358893245e+02   3.407928761989e+00  -7.667190339538e-02   2.696962230792e+01  -7.089110422845e+00   8.374635718939e-02
