  Time[s]              u[ft/s]             v[ft/s]               w[ft/s]               p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                phi[rad]             theta[rad]             psi[rad]
  0.000000000000e+00   2.100000000000e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00  -5.000000000000e+00   0.000000000000e+00   8.726646259972e-02   0.000000000000e+00
  5.000000000000e-03   2.098517042867e+02   8.179898766698e-03   1.599362297849e-01   1.977316423557e+01  -1.340512127626e-04   6.791999633321e-06   1.045669952039e+00   3.678365206067e-07  -5.091082084519e+00   5.109436201433e-02   8.726623861484e-02  -2.802271858766e-09
  1.000000000000e-02   2.097035637559e+02   6.097447775234e-02   3.140609396880e-01   3.594806215022e+01  -5.254156583426e-04   1.010519303658e-04   2.090671458310e+00   7.399447514149e-07  -5.181301622120e+00   1.917567193080e-01   8.726467386060e-02  -6.421910142315e-09
  1.500000000000e-02   2.095555528811e+02   1.890603498189e-01   4.401653188224e-01   4.917887141440e+01  -1.103823547442e-03   4.692832549479e-04   3.135005159242e+00   1.281922121840e-06  -5.270659311546e+00   4.056862945177e-01   8.726044156264e-02  -1.877793883462e-08
  2.000000000000e-02   2.094076784646e+02   4.004709091521e-01   4.956764546889e-01   6.000049729557e+01  -1.660253585019e-03   1.324518122111e-03   4.178671627494e+00   2.139249222896e-06  -5.359155860366e+00   6.795449341979e-01   8.725223219312e-02  -5.775646611538e-08
  2.500000000000e-02   2.092600003033e+02   6.693483179618e-01   4.274856222978e-01   6.885038742470e+01  -1.803644793954e-03   2.768586794368e-03   5.221671582449e+00   3.405260867353e-06  -5.446792046622e+00   1.002417132626e+00   8.723875578091e-02  -1.543787169914e-07
  3.000000000000e-02   2.091126004742e+02   9.297365014756e-01   1.937011380191e-01   7.608634450011e+01  -1.022638376118e-03   4.624427817885e-03   6.264006105957e+00   5.110210747409e-06  -5.533568734305e+00   1.365368786856e+00   8.721874442416e-02  -3.547123209097e-07
  3.500000000000e-02   2.089654704429e+02   1.083516253605e+00  -2.087504326736e-01   8.200106514294e+01   1.114678181381e-03   6.316960534621e-03   7.305676497430e+00   7.214466547739e-06  -5.619486839304e+00   1.761086555976e+00   8.719095468525e-02  -7.207714349104e-07
  4.000000000000e-02   2.088183932509e+02   1.026758316638e+00  -7.219752679185e-01   8.683400294374e+01   4.661349377977e-03   6.908672369993e-03   8.346683493929e+00   9.605717697383e-06  -5.704547238712e+00   2.183582996671e+00   8.715416974148e-02  -1.330707108292e-06
  4.500000000000e-02   2.086710057078e+02   6.900759859024e-01  -1.223477652686e+00   9.078105907505e+01   9.014857272596e-03   5.362437673473e-03   9.387026276150e+00   1.210165645771e-05  -5.788750666606e+00   2.627955389051e+00   8.710720134292e-02  -2.278569485558e-06
  5.000000000000e-02   2.085231306986e+02   7.951601117596e-02  -1.549634436626e+00   9.400252481005e+01   1.283427431350e-02   1.006165669657e-03   1.042670248116e+01   1.445770825594e-05  -5.872097703887e+00   3.090188485596e+00   8.704889171626e-02  -3.673715422310e-06
  5.500000000000e-02   2.083751289132e+02  -7.002217487657e-01  -1.544654198372e+00   9.662961015335e+01   1.429111800002e-02  -5.952200442897e-03   1.146571009537e+01   1.637807250721e-05  -5.954588937249e+00   3.566993320048e+00   8.697811527442e-02  -5.639847701079e-06
  6.000000000000e-02   2.082277849204e+02  -1.455501834072e+00  -1.121241222956e+00   9.876978992507e+01   1.167206441699e-02  -1.410079801102e-02   1.250405011345e+01   1.752821870205e-05  -6.036225188129e+00   4.055675625594e+00   8.689378003199e-02  -8.314057853220e-06
  6.500000000000e-02   2.080815763927e+02  -1.950914614638e+00  -3.106278583925e-01   1.005111246048e+02   4.178333545385e-03  -2.092494953690e-02   1.354172700023e+01   1.754724561128e-05  -6.117007551695e+00   4.554028359289e+00   8.679482919196e-02  -1.184592639511e-05
