   Time                        u                   v                   w                  p                      q                      r                  x_f                     y_f                   z_f                   e_0                   e_x                   e_y                   e_z 
  0.000000000000e+00   1.000000000000e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.000000000000e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.000000000000e-01   9.999069849137e+01   0.000000000000e+00   3.198821509071e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999534949537e+00   0.000000000000e+00   5.999984005644e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.000000000000e-01   9.998138928851e+01   0.000000000000e+00   6.397345141540e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.999813944175e+01   0.000000000000e+00   5.999936024563e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.000000000000e-01   9.997206302235e+01   0.000000000000e+00   9.595569725908e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.999581223838e+01   0.000000000000e+00   5.999856059738e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.000000000000e-01   9.996271038562e+01   0.000000000000e+00   1.279349319814e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.999255116708e+01   0.000000000000e+00   5.999744114172e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.000000000000e-01   9.995332216065e+01   0.000000000000e+00   1.599111261337e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.998835312907e+01   0.000000000000e+00   5.999600190888e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  6.000000000000e-01   9.994388924573e+01   0.000000000000e+00   1.918842416183e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.998321410935e+01   0.000000000000e+00   5.999424292946e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  7.000000000000e-01   9.993440267991e+01   0.000000000000e+00   2.238542318861e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.997712918962e+01   0.000000000000e+00   5.999216423446e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  8.000000000000e-01   9.992485366593e+01   0.000000000000e+00   2.558210421703e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.997009256347e+01   0.000000000000e+00   5.998976585542e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  9.000000000000e-01   9.991523359082e+01   0.000000000000e+00   2.877846097500e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   8.996209755382e+01   0.000000000000e+00   5.998704782443e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.000000000000e+00   9.990553404432e+01   0.000000000000e+00   3.197448642398e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.995313663229e+01   0.000000000000e+00   5.998401017426e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.100000000000e+00   9.989574683468e+01   0.000000000000e+00   3.517017279009e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.099432014403e+02   0.000000000000e+00   5.998065293844e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.200000000000e+00   9.988586400201e+01   0.000000000000e+00   3.836551159680e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.199322828115e+02   0.000000000000e+00   5.997697615129e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.300000000000e+00   9.987587782917e+01   0.000000000000e+00   4.156049369880e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.299203707956e+02   0.000000000000e+00   5.997297984801e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.400000000000e+00   9.986578085009e+01   0.000000000000e+00   4.475510931648e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.399074546834e+02   0.000000000000e+00   5.996866406477e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.500000000000e+00   9.985556585583e+01   0.000000000000e+00   4.794934807074e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.498935230315e+02   0.000000000000e+00   5.996402883871e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.600000000000e+00   9.984522552967e+01   0.000000000000e+00   5.114319882878e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.598785636888e+02   0.000000000000e+00   5.995907420808e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.700000000000e+00   9.983474791285e+01   0.000000000000e+00   5.433664729792e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.698625635492e+02   0.000000000000e+00   5.995380021236e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.800000000000e+00   9.982412424399e+01   0.000000000000e+00   5.752967984745e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.798455084026e+02   0.000000000000e+00   5.994820689248e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.900000000000e+00   9.981334777398e+01   0.000000000000e+00   6.072228318122e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.898273833043e+02   0.000000000000e+00   5.994229429070e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.000000000000e+00   9.980241199627e+01   0.000000000000e+00   6.391444350353e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.998081726468e+02   0.000000000000e+00   5.993606245061e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.100000000000e+00   9.979131064259e+01   0.000000000000e+00   6.710614654722e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.097878601840e+02   0.000000000000e+00   5.992951141724e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.200000000000e+00   9.978003767771e+01   0.000000000000e+00   7.029737760042e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.197664290546e+02   0.000000000000e+00   5.992264123703e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.300000000000e+00   9.976858729328e+01   0.000000000000e+00   7.348812153180e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.297438618053e+02   0.000000000000e+00   5.991545195795e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.400000000000e+00   9.975695390110e+01   0.000000000000e+00   7.667836281441e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.397201404127e+02   0.000000000000e+00   5.990794362948e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.500000000000e+00   9.974513212581e+01   0.000000000000e+00   7.986808554799e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.496952463058e+02   0.000000000000e+00   5.990011630268e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.600000000000e+00   9.973311679723e+01   0.000000000000e+00   8.305727347982e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.596691603858e+02   0.000000000000e+00   5.989197003020e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.700000000000e+00   9.972090294246e+01   0.000000000000e+00   8.624591002411e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.696418630474e+02   0.000000000000e+00   5.988350486636e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.800000000000e+00   9.970848577771e+01   0.000000000000e+00   8.943397828001e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.796133341971e+02   0.000000000000e+00   5.987472086714e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.900000000000e+00   9.969586070020e+01   0.000000000000e+00   9.262146104823e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.895835532723e+02   0.000000000000e+00   5.986561809022e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.000000000000e+00   9.968302327996e+01   0.000000000000e+00   9.580834084634e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.995524992588e+02   0.000000000000e+00   5.985619659503e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.100000000000e+00   9.966996925175e+01   0.000000000000e+00   9.899459992286e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.095201507078e+02   0.000000000000e+00   5.984645644274e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.200000000000e+00   9.965669450708e+01   0.000000000000e+00   1.021802202702e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.194864857517e+02   0.000000000000e+00   5.983639769633e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.300000000000e+00   9.964319508641e+01   0.000000000000e+00   1.053651836364e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.294514821198e+02   0.000000000000e+00   5.982602042059e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.400000000000e+00   9.962946717153e+01   0.000000000000e+00   1.085494715361e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.394151171524e+02   0.000000000000e+00   5.981532468212e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.500000000000e+00   9.961550707820e+01   0.000000000000e+00   1.117330652600e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.493773678147e+02   0.000000000000e+00   5.980431054942e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.600000000000e+00   9.960131124900e+01   0.000000000000e+00   1.149159458841e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.593382107100e+02   0.000000000000e+00   5.979297809284e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.700000000000e+00   9.958687793333e+01   0.000000000000e+00   1.180980962649e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.692976221324e+02   0.000000000000e+00   5.978132738460e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.800000000000e+00   9.957220984676e+01   0.000000000000e+00   1.212795044341e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.792555784860e+02   0.000000000000e+00   5.976935849831e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.900000000000e+00   9.955730459445e+01   0.000000000000e+00   1.244601523724e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.892120561960e+02   0.000000000000e+00   5.975707150905e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
