  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez
  0.000000000000e+00   1.000000000000e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00  -1.500000000000e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  5.000000000000e-03   9.994167464075e+01   0.000000000000e+00   1.509487309135e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.698383585613e-01   0.000000000000e+00  -1.500017060558e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  1.000000000000e-02   9.988335324031e+01   0.000000000000e+00   3.018923549785e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.396608200438e-01   0.000000000000e+00  -1.500034040222e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  1.500000000000e-02   9.982503578827e+01   0.000000000000e+00   4.528308783436e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.409467394295e+00   0.000000000000e+00  -1.500050938992e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  2.000000000000e-02   9.976672227420e+01   0.000000000000e+00   6.037643071209e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.879258091126e+00   0.000000000000e+00  -1.500067756874e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  2.500000000000e-02   9.970841268769e+01   0.000000000000e+00   7.546926473856e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.349032920305e+00   0.000000000000e+00  -1.500084493869e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  3.000000000000e-02   9.965010701833e+01   0.000000000000e+00   9.056159051761e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.818791891567e+00   0.000000000000e+00  -1.500101149981e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  3.500000000000e-02   9.959180525571e+01   0.000000000000e+00   1.056534086494e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.288535014603e+00   0.000000000000e+00  -1.500117725213e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  4.000000000000e-02   9.953350738942e+01   0.000000000000e+00   1.207447197303e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.758262299071e+00   0.000000000000e+00  -1.500134219568e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  4.500000000000e-02   9.947521340905e+01   0.000000000000e+00   1.358355243532e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.227973754585e+00   0.000000000000e+00  -1.500150633050e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  5.000000000000e-02   9.941692330421e+01   0.000000000000e+00   1.509258231070e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.697669390723e+00   0.000000000000e+00  -1.500166965660e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  5.500000000000e-02   9.935863706448e+01   0.000000000000e+00   1.660156165770e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.167349217025e+00   0.000000000000e+00  -1.500183217402e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  6.000000000000e-02   9.930035467948e+01   0.000000000000e+00   1.811049053450e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.637013242990e+00   0.000000000000e+00  -1.500199388280e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  6.500000000000e-02   9.924207613882e+01   0.000000000000e+00   1.961936899886e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.106661478078e+00   0.000000000000e+00  -1.500215478295e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  7.000000000000e-02   9.918380143210e+01   0.000000000000e+00   2.112819710821e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.576293931712e+00   0.000000000000e+00  -1.500231487452e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  7.500000000000e-02   9.912553054893e+01   0.000000000000e+00   2.263697491958e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.045910613275e+00   0.000000000000e+00  -1.500247415753e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
  8.000000000000e-02   9.906726347894e+01   0.000000000000e+00   2.414570248964e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.515511532110e+00   0.000000000000e+00  -1.500263263201e+04   9.848077530122e-01   0.000000000000e+00   1.736481776669e-01   0.000000000000e+00
