  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez
  0.000000000000e+00   5.000000000000e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00  -5.000000000000e+00   9.990482215819e-01   0.000000000000e+00   4.361938736534e-02   0.000000000000e+00
  5.000000000000e-03   4.992254369071e+02   4.213049709335e-02   1.540508857758e-01   9.830769492734e+01  -3.083459706131e-04   8.387143302783e-05   2.491784796097e+00   4.710351404609e-06  -5.217597443956e+00   9.910573610014e-01   1.324496632752e-01   4.327022852316e-02  -5.782850466492e-03
  1.000000000000e-02   4.984532140605e+02   2.531638636774e-01   1.914838920153e-01   1.592676207118e+02  -7.602798330293e-04   1.010272522853e-03   4.979403652498e+00   1.481554577525e-05  -5.434020967102e+00   8.957466910470e-01   4.448713762306e-01   3.910718695076e-02  -1.942255081901e-02
  1.500000000000e-02   4.976833603713e+02   4.547827496720e-01  -1.165123794267e-01   1.970392912525e+02   7.034352205033e-04   2.707789954084e-03   7.462703608930e+00   4.116736126689e-05  -5.649265274820e+00   6.138087936847e-01   7.896673745739e-01   2.679502833044e-02  -3.447186068618e-02
  2.000000000000e-02   4.969157598388e+02   1.652008183421e-01  -5.900342759043e-01   2.204035222209e+02   4.680783402003e-03   1.291297186686e-03   9.941147906911e+00   9.136859803366e-05  -5.863300445810e+00   1.364200483209e-01   9.907057991281e-01   5.954117222983e-03  -4.323829455157e-02
  2.500000000000e-02   4.961503465946e+02  -5.668988200637e-01  -4.832273028622e-01   2.348096066614e+02   4.756722601060e-03  -5.620094811908e-03   1.241436508366e+01   1.665140323428e-04  -6.076118513854e+00  -4.197325390046e-01   9.074612679130e-01  -1.831173243302e-02  -3.959133920253e-02
  3.000000000000e-02   4.953874919653e+02  -7.640936669817e-01   4.050168996210e-01   2.436418935211e+02  -4.814553157865e-03  -9.040777051108e-03   1.488210207639e+01   2.609515275744e-04  -6.287726282147e+00  -8.577477638273e-01   5.131464400978e-01  -3.740236175674e-02  -2.237727218784e-02
  3.500000000000e-02   4.946265943768e+02   1.389645763084e-01   9.620494790879e-01   2.490037466904e+02  -1.328818098983e-02   1.904569998428e-03   1.734418433521e+01   3.648099395514e-04  -6.498137996626e+00  -9.962313019953e-01  -7.647661907148e-02  -4.341186835425e-02   3.330668148812e-03
  4.000000000000e-02   4.938680982883e+02   1.049402479795e+00   1.913891891888e-01   2.522033472350e+02  -3.113925248936e-03   1.655152664986e-02   1.980049838361e+01   4.665515880038e-04  -6.707370913910e+00  -7.620964366249e-01  -6.455501907798e-01  -3.318148756359e-02   2.810373203967e-02
  4.500000000000e-02   4.931120861254e+02   5.432695948887e-01  -1.012628052452e+00   2.540550331057e+02   1.789969708589e-02   9.866850431921e-03   2.225098215867e+01   5.546215172189e-04  -6.915443079239e+00  -2.331207699008e-01  -9.707397923018e-01  -1.014143231261e-02   4.221715924977e-02
  5.000000000000e-02   4.923577682059e+02  -8.518494037305e-01  -8.730274047936e-01   2.550658902121e+02   1.760213006280e-02  -1.655416899132e-02   2.469560516043e+01   6.182796298615e-04  -7.122371346732e+00   3.887025679836e-01  -9.190868249073e-01   1.688025633650e-02   3.992081406962e-02
  5.500000000000e-02   4.916064889498e+02  -1.139402413601e+00   5.809653197168e-01   2.555521123561e+02  -1.203891151893e-02  -2.524445388598e-02   2.713436365278e+01   6.479175724058e-04  -7.328171277746e+00   8.590562930317e-01  -5.069014092560e-01   3.725486255797e-02   2.198518683641e-02
  6.000000000000e-02   4.908568059809e+02   2.268003834108e-01   1.307687569571e+00   2.557108993654e+02  -3.151586645183e-02   4.312949037902e-03   2.956726972409e+01   6.351070228206e-04  -7.532856690226e+00   9.914939548673e-01   1.047784827602e-01   4.292490757645e-02  -4.536319533326e-03
  6.500000000000e-02   4.901096847552e+02   1.353894663612e+00   1.733876306235e-01   2.556652687001e+02  -6.147163368800e-03   3.511391244086e-02   3.199434259099e+01   5.725266313142e-04  -7.736439398556e+00   7.333919388666e-01   6.747502615148e-01   3.168623555898e-02  -2.915769842902e-02
  7.000000000000e-02   4.893651017445e+02   5.760081550586e-01  -1.267985569855e+00   2.554922421812e+02   3.492333523034e-02   1.834044789991e-02   3.441561322963e+01   4.538470247883e-04  -7.938930036236e+00   1.869658322086e-01   9.784234054332e-01   8.051902442927e-03  -4.218590963497e-02
  7.500000000000e-02   4.886220190121e+02  -1.055453363385e+00  -9.363532360432e-01   2.552397533953e+02   3.082297434857e-02  -3.022719317179e-02   3.683111058153e+01   2.736103277752e-04  -8.140337198895e+00  -4.320637126787e-01   8.970577030442e-01  -1.859871875008e-02  -3.857624846266e-02
