   Time                        u                   v                   w                  p                      q                      r                  x_f                     y_f                   z_f                   e_0                   e_x                   e_y                   e_z 
  0.000000000000e+00   1.000000000000e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.500000000000e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.000000000000e-03   9.999723825264e+01   0.000000000000e+00   1.606367854887e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.999930955725e-01   0.000000000000e+00   1.499999959841e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.000000000000e-02   9.999447664390e+01   0.000000000000e+00   3.212691347569e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.999723827574e-01   0.000000000000e+00   1.499999839364e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.500000000000e-02   9.999171516727e+01   0.000000000000e+00   4.818970481137e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.499937862232e+00   0.000000000000e+00   1.499999638572e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.000000000000e-02   9.998895381625e+01   0.000000000000e+00   6.425205258370e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.999889534639e+00   0.000000000000e+00   1.499999357468e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.500000000000e-02   9.998619258433e+01   0.000000000000e+00   8.031395681729e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.499827400593e+00   0.000000000000e+00   1.499998996052e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.000000000000e-02   9.998343146500e+01   0.000000000000e+00   9.637541753367e-01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.999751460670e+00   0.000000000000e+00   1.499998554329e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  3.500000000000e-02   9.998067045175e+01   0.000000000000e+00   1.124364347512e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.499661715419e+00   0.000000000000e+00   1.499998032299e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.000000000000e-02   9.997790953807e+01   0.000000000000e+00   1.284970084851e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   3.999558165354e+00   0.000000000000e+00   1.499997429965e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  4.500000000000e-02   9.997514871747e+01   0.000000000000e+00   1.445571387475e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.499440810955e+00   0.000000000000e+00   1.499996747330e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.000000000000e-02   9.997238798344e+01   0.000000000000e+00   1.606168255473e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   4.999309652673e+00   0.000000000000e+00   1.499995984395e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  5.500000000000e-02   9.996962732948e+01   0.000000000000e+00   1.766760688905e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.499164690923e+00   0.000000000000e+00   1.499995141162e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  6.000000000000e-02   9.996686674908e+01   0.000000000000e+00   1.927348687796e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   5.999005926090e+00   0.000000000000e+00   1.499994217635e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  6.500000000000e-02   9.996410623575e+01   0.000000000000e+00   2.087932252143e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.498833358526e+00   0.000000000000e+00   1.499993213814e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  7.000000000000e-02   9.996134578300e+01   0.000000000000e+00   2.248511381910e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   6.998646988549e+00   0.000000000000e+00   1.499992129703e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  7.500000000000e-02   9.995858538432e+01   0.000000000000e+00   2.409086077031e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.498446816446e+00   0.000000000000e+00   1.499990965304e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  8.000000000000e-02   9.995582503322e+01   0.000000000000e+00   2.569656337408e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   7.998232842471e+00   0.000000000000e+00   1.499989720618e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  8.500000000000e-02   9.995306472322e+01   0.000000000000e+00   2.730222162910e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   8.498005066847e+00   0.000000000000e+00   1.499988395648e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  9.000000000000e-02   9.995030444781e+01   0.000000000000e+00   2.890783553378e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   8.997763489761e+00   0.000000000000e+00   1.499986990396e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  9.500000000000e-02   9.994754420051e+01   0.000000000000e+00   3.051340508619e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.497508111371e+00   0.000000000000e+00   1.499985504865e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.000000000000e-01   9.994478397483e+01   0.000000000000e+00   3.211893028411e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   9.997238931802e+00   0.000000000000e+00   1.499983939057e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.050000000000e-01   9.994202376429e+01   0.000000000000e+00   3.372441112499e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.049695595115e+01   0.000000000000e+00   1.499982292973e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.100000000000e-01   9.993926356241e+01   0.000000000000e+00   3.532984760598e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.099665916946e+01   0.000000000000e+00   1.499980566616e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.150000000000e-01   9.993650336269e+01   0.000000000000e+00   3.693523972390e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.149634858677e+01   0.000000000000e+00   1.499978759989e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.200000000000e-01   9.993374315867e+01   0.000000000000e+00   3.854058747529e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.199602420308e+01   0.000000000000e+00   1.499976873093e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.250000000000e-01   9.993098294387e+01   0.000000000000e+00   4.014589085636e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.249568601834e+01   0.000000000000e+00   1.499974905931e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.300000000000e-01   9.992822271180e+01   0.000000000000e+00   4.175114986299e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.299533403249e+01   0.000000000000e+00   1.499972858505e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.350000000000e-01   9.992546245601e+01   0.000000000000e+00   4.335636449077e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.349496824542e+01   0.000000000000e+00   1.499970730817e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.400000000000e-01   9.992270217001e+01   0.000000000000e+00   4.496153473499e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.399458865700e+01   0.000000000000e+00   1.499968522869e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.450000000000e-01   9.991994184735e+01   0.000000000000e+00   4.656666059061e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.449419526706e+01   0.000000000000e+00   1.499966234664e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.500000000000e-01   9.991718148154e+01   0.000000000000e+00   4.817174205227e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.499378807540e+01   0.000000000000e+00   1.499963866204e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.550000000000e-01   9.991442106614e+01   0.000000000000e+00   4.977677911432e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.549336708179e+01   0.000000000000e+00   1.499961417490e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.600000000000e-01   9.991166059469e+01   0.000000000000e+00   5.138177177080e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.599293228597e+01   0.000000000000e+00   1.499958888526e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.650000000000e-01   9.990890006071e+01   0.000000000000e+00   5.298672001542e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.649248368763e+01   0.000000000000e+00   1.499956279314e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.700000000000e-01   9.990613945777e+01   0.000000000000e+00   5.459162384160e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.699202128646e+01   0.000000000000e+00   1.499953589855e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.750000000000e-01   9.990337877940e+01   0.000000000000e+00   5.619648324244e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.749154508209e+01   0.000000000000e+00   1.499950820152e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.800000000000e-01   9.990061801915e+01   0.000000000000e+00   5.780129821072e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.799105507412e+01   0.000000000000e+00   1.499947970208e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.850000000000e-01   9.989785717059e+01   0.000000000000e+00   5.940606873894e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.849055126213e+01   0.000000000000e+00   1.499945040023e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.900000000000e-01   9.989509622726e+01   0.000000000000e+00   6.101079481926e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.899003364567e+01   0.000000000000e+00   1.499942029601e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  1.950000000000e-01   9.989233518273e+01   0.000000000000e+00   6.261547644355e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.948950222423e+01   0.000000000000e+00   1.499938938944e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.000000000000e-01   9.988957403055e+01   0.000000000000e+00   6.422011360335e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   1.998895699731e+01   0.000000000000e+00   1.499935768055e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.050000000000e-01   9.988681276429e+01   0.000000000000e+00   6.582470628993e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.048839796435e+01   0.000000000000e+00   1.499932516934e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.100000000000e-01   9.988405137753e+01   0.000000000000e+00   6.742925449420e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.098782512476e+01   0.000000000000e+00   1.499929185585e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.150000000000e-01   9.988128986382e+01   0.000000000000e+00   6.903375820680e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.148723847791e+01   0.000000000000e+00   1.499925774009e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.200000000000e-01   9.987852821676e+01   0.000000000000e+00   7.063821741805e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.198663802317e+01   0.000000000000e+00   1.499922282210e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.250000000000e-01   9.987576642990e+01   0.000000000000e+00   7.224263211797e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.248602375985e+01   0.000000000000e+00   1.499918710188e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.300000000000e-01   9.987300449684e+01   0.000000000000e+00   7.384700229625e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.298539568723e+01   0.000000000000e+00   1.499915057947e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.350000000000e-01   9.987024241117e+01   0.000000000000e+00   7.545132794229e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.348475380456e+01   0.000000000000e+00   1.499911325489e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.400000000000e-01   9.986748016646e+01   0.000000000000e+00   7.705560904518e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.398409811107e+01   0.000000000000e+00   1.499907512815e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.450000000000e-01   9.986471775631e+01   0.000000000000e+00   7.865984559371e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.448342860595e+01   0.000000000000e+00   1.499903619928e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.500000000000e-01   9.986195517432e+01   0.000000000000e+00   8.026403757635e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.498274528835e+01   0.000000000000e+00   1.499899646831e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.550000000000e-01   9.985919241408e+01   0.000000000000e+00   8.186818498126e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.548204815740e+01   0.000000000000e+00   1.499895593525e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.600000000000e-01   9.985642946920e+01   0.000000000000e+00   8.347228779632e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.598133721218e+01   0.000000000000e+00   1.499891460013e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.650000000000e-01   9.985366633328e+01   0.000000000000e+00   8.507634600908e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.648061245177e+01   0.000000000000e+00   1.499887246297e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.700000000000e-01   9.985090299994e+01   0.000000000000e+00   8.668035960679e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.697987387519e+01   0.000000000000e+00   1.499882952380e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.750000000000e-01   9.984813946279e+01   0.000000000000e+00   8.828432857639e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.747912148143e+01   0.000000000000e+00   1.499878578262e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  2.800000000000e-01   9.984537571544e+01   0.000000000000e+00   8.988825290453e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   2.797835526947e+01   0.000000000000e+00   1.499874123948e+04   1.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
