  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez
  0.000000000000e+00   3.000000000000e+02   0.000000000000e+00   0.000000000000e+00  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   0.000000000000e+00   0.000000000000e+00  -5.000000000000e+00   9.990482215819e-01   0.000000000000e+00   4.361938736534e-02   0.000000000000e+00
  5.000000000000e-03   2.888480163040e+02  -5.545170993693e+01   5.873684425162e+01  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   1.494080729525e+00   2.404957477272e-04  -5.130026197966e+00   9.849325770135e-01  -2.624941673438e-02   1.442825993221e-01   9.165814955218e-02
  1.000000000000e-02   2.564018170261e+02  -1.102629295092e+02   1.096233997690e+02  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   2.987927613644e+00   1.048967203238e-03  -5.258733765723e+00   9.516870002212e-01  -5.198899934410e-02   2.421434604048e-01   1.815360518357e-01
  1.500000000000e-02   2.051836630895e+02  -1.601816092664e+02   1.487290085276e+02  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   4.481545676628e+00   2.404087101624e-03  -5.386219421442e+00   8.999572080952e-01  -7.671881872931e-02   3.353012603081e-01   2.678880461121e-01
  2.000000000000e-02   1.391653478499e+02  -2.013353321591e+02   1.730377034476e+02  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   5.974955040911e+00   4.240011625904e-03  -5.512592008229e+00   8.307479286463e-01  -9.995855805010e-02   4.219466345116e-01   3.490369540583e-01
  2.500000000000e-02   6.346184783098e+01  -2.305276114556e+02   1.806797066693e+02  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   7.468184103244e+00   6.468663555286e-03  -5.637967077667e+00   7.454033865576e-01  -1.212568417177e-01   5.003967068010e-01   4.234066548925e-01
  3.000000000000e-02  -1.605993472640e+01  -2.454821530537e+02   1.710794070659e+02  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   8.961249119453e+00   9.015009985576e-03  -5.762460670615e+00   6.455811948353e-01  -1.402000022708e-01   5.691277750566e-01   4.895526976995e-01
  3.500000000000e-02  -9.323750979183e+01  -2.450212986103e+02   1.450085436880e+02  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   1.045413361418e+01   1.186767456155e-02  -5.886168077192e+00   5.332201596526e-01  -1.564201148621e-01   6.268049054660e-01   5.461903563829e-01
  4.000000000000e-02  -1.621035944018e+02  -2.291626959235e+02   1.045198603820e+02  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   1.194678824265e+01   1.510453082479e-02  -6.009113726850e+00   4.105026236991e-01  -1.696021433036e-01   6.723078603667e-01   5.922195823472e-01
  4.500000000000e-02  -2.173464649622e+02  -1.991193647017e+02   5.276752502743e+01  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   1.343915774571e+01   1.884558866088e-02  -6.131214420901e+00   2.798120794266e-01  -1.794900588781e-01   7.047528561312e-01   6.267463702624e-01
  5.000000000000e-02  -2.547062305581e+02  -1.572044764217e+02  -6.239434777477e+00  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   1.493122409117e+01   2.318474418554e-02  -6.252306065253e+00   1.436868754509e-01  -1.858918130713e-01   7.235097285035e-01   6.491001219352e-01
  5.500000000000e-02  -2.712984778466e+02  -1.066517812987e+02  -6.793844941579e+01  -1.212832670300e+01   4.060490360143e+01   3.628803036893e+01   1.642304418636e+01   2.816383678395e-02  -6.372209353887e+00   4.770915252195e-03  -1.886830676436e-01   7.282141719897e-01   6.588466710342e-01
