  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez
  0.000000000000e+00   2.107781374672e+02   0.000000000000e+00   6.302838063805e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00  -5.000000000000e+02   9.894651188983e-01   0.000000000000e+00   1.447714698538e-01   0.000000000000e+00
  1.000000000000e-01   2.101738565822e+02  -5.326369447569e-01   6.937083398937e+01  -1.604849620597e-01   1.076228836030e-03  -2.385871039355e-03   2.206157379584e+01   2.321943227107e-04  -4.996907238583e+02   9.894543743693e-01  -4.066155474008e-03   1.447880851696e-01   5.328481530197e-04
  2.000000000000e-01   2.094958414055e+02  -2.192599026203e+00   7.609825620572e+01  -2.998560916923e-01   4.236321053047e-03  -4.802191326277e-03   4.424953671260e+01   4.541019627761e-03  -4.987388832925e+02   9.893229443894e-01  -1.556498052549e-02   1.448943775608e-01   2.035122182641e-03
  3.000000000000e-01   2.087153608868e+02  -5.033668179177e+00   8.322444836448e+01  -4.183148055662e-01   9.431086675410e-03  -8.135140358977e-03   6.656909937723e+01   2.490831562657e-02  -4.971055419849e+02   9.888335952411e-01  -3.345639211382e-02   1.451585244648e-01   4.328593270493e-03
  4.000000000000e-01   2.077978763312e+02  -9.053295530757e+00   9.073295531623e+01  -5.160909661040e-01   1.669475176298e-02  -1.326946243048e-02   8.902565294173e+01   8.340644522011e-02  -4.947480596808e+02   9.876861249494e-01  -5.670783991548e-02   1.456359516850e-01   7.188011766435e-03
  5.000000000000e-01   2.067031079475e+02  -1.418824966017e+01   9.859500277277e+01  -5.936126726012e-01   2.614978771929e-02  -2.106753430712e-02   1.116244944340e+02   2.138418032726e-01  -4.916206762004e+02   9.855769452504e-01  -8.429598559551e-02   1.463785311099e-01   1.034030925667e-02
  6.000000000000e-01   2.053852802602e+02  -2.031389988536e+01   1.067908278488e+02  -6.516647926319e-01   3.800036630683e-02  -3.234172383289e-02   1.343704356380e+02   4.633503322884e-01  -4.876754994241e+02   9.822452486896e-01  -1.152199572746e-01   1.474405743180e-01   1.346668251315e-02
  7.000000000000e-01   2.037930111528e+02  -2.724950735015e+01   1.153314401297e+02  -6.915291007888e-01   5.251759992096e-02  -4.782317130274e-02   1.572673493610e+02   8.938795550378e-01  -4.828637353469e+02   9.775035767101e-01  -1.485257680300e-01   1.488813993187e-01   1.620785607308e-02
  8.000000000000e-01   2.018679725110e+02  -3.477058818705e+01   1.242775737483e+02  -7.150984965290e-01   7.002157151785e-02  -6.813082134700e-02   1.803177285469e+02   1.583579767338e+00  -4.771369513108e+02   9.712507205455e-01  -1.833395016035e-01   1.507646105224e-01   1.817245142673e-02
  9.000000000000e-01   1.995411435150e+02  -4.262802599083e+01   1.337530695353e+02  -7.249597639106e-01   9.086739263123e-02  -9.374428931953e-02   2.035223435738e+02   2.628271702228e+00  -4.704481556708e+02   9.634658965924e-01  -2.189054409071e-01   1.531547668659e-01   1.894803850172e-02
