  Time[s]              udot                vdot                 wdot                  pdot               qdot                 rdot                 xdot                  ydot                 zdot                   e0dot                exdot               eydot              ezdot
  0.000000000000e+00   1.776356839400e-15   6.443526953526e+00   6.443526953526e+00  -8.710240971290e-01   5.344967739405e-02  -6.083337492000e-02   2.200000000000e+02   0.000000000000e+00   1.755040557327e-12   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  0.000000000000e+00  -1.425039424967e-01   4.192797966949e+00   6.796499244515e+00  -8.220143913518e-01   5.107363623158e-02  -5.486568309794e-02   2.200945012817e+02   3.221763476763e-01   3.080050433885e-01  -1.981655622789e-04  -2.176035554572e-02   1.321466200242e-03   1.725318760725e-03
  0.000000000000e+00  -1.372844740142e-01   4.239037866207e+00   6.757913215039e+00  -8.223156390040e-01   5.107030901851e-02  -5.610104283072e-02   2.200930406970e+02   3.188824137870e-01   2.969960453624e-01  -2.116815462902e-04  -2.052653308343e-02   1.259444190379e-03   1.691139236905e-03
  0.000000000000e+00  -2.772849905161e-01   2.037541773516e+00   7.091299376828e+00  -7.737915059287e-01   4.886654975605e-02  -5.112554997676e-02   2.201847031094e+02   6.340959194618e-01   5.917399820836e-01  -4.629317028989e-04  -4.107704268192e-02   2.512514392333e-03   3.323459067560e-03

  1.000000000000e-01  -2.774458183464e-01   2.026044275950e+00   7.090861261552e+00  -7.737178501878e-01   4.885619282834e-02  -5.115093729590e-02   2.201850349130e+02   6.354418178003e-01   5.924259314096e-01  -4.648656539999e-04  -4.107023729966e-02   2.513940822583e-03   3.345278939469e-03
  1.000000000000e-01  -4.147781222571e-01  -1.595357991180e-01   7.393549275757e+00  -7.254512708361e-01   4.677310016760e-02  -4.726617266044e-02   2.202761363561e+02   9.489065254404e-01   8.753378152748e-01  -8.103891297001e-04  -6.038863218867e-02   3.697321909230e-03   4.949099533797e-03
  1.000000000000e-01  -4.096463910747e-01  -8.611668904642e-02   7.349679696172e+00  -7.258892923713e-01   4.675437479212e-02  -4.845898465219e-02   2.202722686282e+02   9.394557502243e-01   8.641103933812e-01  -8.548124882895e-04  -5.918042909391e-02   3.637987137120e-03   4.866077983029e-03
  1.000000000000e-01  -5.433806054054e-01  -2.196134851403e+00   7.609732102734e+00  -6.782916778688e-01   4.480003337218e-02  -4.553239936438e-02   2.203598509076e+02   1.242918706080e+00   1.132077520328e+00  -1.344790443938e-03  -7.732028183435e-02   4.745651413632e-03   6.331063374520e-03

  2.000000000000e-01  -5.435320186725e-01  -2.206932870940e+00   7.609098377909e+00  -6.782016679586e-01   4.478704163137e-02  -4.556588607022e-02   2.203602679328e+02   1.244091215694e+00   1.132741694509e+00  -1.348145295075e-03  -7.731172148128e-02   4.746999313638e-03   6.351776223450e-03
  2.000000000000e-01  -6.736332478769e-01  -4.271942627255e+00   7.816996542861e+00  -6.309989444077e-01   4.291147481713e-02  -4.371775782161e-02   2.204483116070e+02   1.542099317612e+00   1.388022387206e+00  -2.014698302185e-03  -9.424474994565e-02   5.779036442841e-03   7.738714429406e-03
  2.000000000000e-01  -6.685554097309e-01  -4.172542720076e+00   7.770588679945e+00  -6.316192898984e-01   4.290318561741e-02  -4.483982327120e-02   2.204388048118e+02   1.526992745903e+00   1.375093818064e+00  -2.072451226773e-03  -9.306863740395e-02   5.722401178400e-03   7.609055520559e-03
  2.000000000000e-01  -7.943305428881e-01  -6.136736481184e+00   7.920787831856e+00  -5.853035756328e-01   4.115175850827e-02  -4.388452944294e-02   2.205227673488e+02   1.812143866282e+00   1.614235448906e+00  -2.932840909650e-03  -1.088621186177e-01   6.675889713907e-03   8.814989317210e-03

  3.000000000000e-01  -7.944450278912e-01  -6.146489836883e+00   7.919729411111e+00  -5.852014819140e-01   4.113725977172e-02  -4.392579121262e-02   2.205232504741e+02   1.813154134540e+00   1.614871006155e+00  -2.937238376866e-03  -1.088510154549e-01   6.676811689865e-03   8.834020481951e-03
  3.000000000000e-01  -9.157741115882e-01  -8.036666357158e+00   8.003662560728e+00  -5.394656102828e-01   3.946210872293e-02  -4.400441193666e-02   2.206081667832e+02   2.089339056970e+00   1.840714838130e+00  -4.015509590479e-03  -1.234684152371e-01   7.551575364992e-03   9.914322977724e-03
  3.000000000000e-01  -9.107980831989e-01  -7.913428154536e+00   7.958391938926e+00  -5.403038838093e-01   3.948092109424e-02  -4.502854097431e-02   2.205910444026e+02   2.069080315386e+00   1.825133358352e+00  -4.072513558668e-03  -1.223326089069e-01   7.499001557497e-03   9.742116170574e-03
  3.000000000000e-01  -1.027224731268e+00  -9.679688259395e+00   7.978042087214e+00  -4.956966771530e-01   3.794918449199e-02  -4.590527690655e-02   2.206714537058e+02   2.329715433103e+00   2.034208822408e+00  -5.359898004224e-03  -1.358587241680e-01   8.296533684822e-03   1.060468200656e-02

  4.000000000000e-01  -1.027280593978e+00  -9.688067109240e+00   7.976443102762e+00  -4.955871081745e-01   3.793437221571e-02  -4.595375097715e-02   2.206719821888e+02   2.330566415123e+00   2.034808972493e+00  -5.364923065087e-03  -1.358444370954e-01   8.296784139402e-03   1.062149600708e-02
  4.000000000000e-01  -1.138435602061e+00  -1.135261815436e+01   7.923751888704e+00  -4.517820573966e-01   3.650114617039e-02  -4.778867887216e-02   2.207534100502e+02   2.578884925619e+00   2.230285808144e+00  -6.878302319351e-03  -1.482328696510e-01   9.015402891714e-03   1.131473905484e-02
  4.000000000000e-01  -1.133644554207e+00  -1.120882846650e+01   7.883560714767e+00  -4.528621196275e-01   3.655502070052e-02  -4.868922775204e-02   2.207277716927e+02   2.553991849635e+00   2.211613448859e+00  -6.924046645405e-03  -1.471473277355e-01   8.968976866014e-03   1.110583311199e-02
  4.000000000000e-01  -1.239291944328e+00  -1.272992588070e+01   7.768061708577e+00  -4.104376313619e-01   3.529468426215e-02  -5.120091364602e-02   2.208044121276e+02   2.784227228967e+00   2.390280621282e+00  -8.635696964108e-03  -1.585036904501e-01   9.615093215068e-03   1.155171336853e-02

  5.000000000000e-01  -1.239271210750e+00  -1.273662376660e+01   7.765914636477e+00  -4.103255477291e-01   3.528070476859e-02  -5.125569677808e-02   2.208049640840e+02   2.784919103339e+00   2.390841032465e+00  -8.640898848696e-03  -1.584857595680e-01   9.614528550024e-03   1.156581928936e-02
