  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez
  0.000000000000e+00   2.103230421284e+02   0.000000000000e+00   6.453075197031e+01  -0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00  -5.000000000000e+02   9.889423208298e-01   0.000000000000e+00   1.483006610633e-01   0.000000000000e+00
  1.000000000000e-01   2.103090944313e+02   4.224123398892e-01   6.520814615780e+01  -8.222459439616e-02   5.110068627505e-03  -5.564872945901e-03   2.200932978445e+01   3.193689070647e-02  -4.999699709640e+02   9.889209437311e-01  -2.094180332337e-03   1.484285666495e-01   1.692729177137e-04
  2.000000000000e-01   2.102679331738e+02   4.113890806929e-01   6.594459701294e+01  -1.548027719707e-01   9.788588229504e-03  -1.036710046733e-02   4.403669138093e+01   1.261883086266e-01  -4.998832476329e+02   9.888352760755e-01  -8.052991027323e-03   1.487940701550e-01   6.577178735077e-04
  3.000000000000e-01   2.102008958426e+02  -9.154920086899e-03   6.672301462386e+01  -2.179484671741e-01   1.408139024632e-02  -1.480986009564e-02   6.608097918292e+01   2.794286287767e-01  -4.997453608070e+02   9.886276879878e-01  -1.739966794063e-02   1.493678328928e-01   1.422089630851e-03
  4.000000000000e-01   2.101096489401e+02  -8.045943720813e-01   6.752004596549e+01  -2.719557529616e-01   1.803093197795e-02  -1.927480966133e-02   8.814086462545e+01   4.870904339827e-01  -4.995623478699e+02   9.882198016098e-01  -2.967153107248e-02   1.501190745465e-01   2.401282643936e-03
  5.000000000000e-01   2.099961367259e+02  -1.930275809276e+00   6.830936479913e+01  -3.172109711880e-01   2.168662181494e-02  -2.410998429252e-02   1.102148439222e+02   7.434328872260e-01  -4.993405330681e+02   9.875263796439e-01  -4.442333977778e-02   1.510170851610e-01   3.518188539090e-03
  6.000000000000e-01   2.098625980838e+02  -3.332768168463e+00   6.906486221863e+01  -3.541997112727e-01   2.510967777349e-02  -2.961862327457e-02   1.323012895194e+02   1.041607338457e+00  -4.990862954928e+02   9.864660471077e-01  -6.123140683428e-02   1.520325074101e-01   4.682244807798e-03
  7.000000000000e-01   2.097116236223e+02  -4.951713205761e+00   6.976341518428e+01  -3.835077365136e-01   2.837337005484e-02  -3.604953475209e-02   1.543985020841e+02   1.373727200393e+00  -4.988058423488e+02   9.849688701370e-01  -7.969829355632e-02   1.531382731912e-01   5.792586881240e-03
  8.000000000000e-01   2.095462167713e+02  -6.722197088359e+00   7.038698458156e+01  -4.058153300264e-01   3.155980192554e-02  -4.358973067416e-02   1.765047599442e+02   1.730945162500e+00  -4.985050019176e+02   9.829809191761e-01  -9.945772573606e-02   1.543101340795e-01   6.741664010028e-03
  9.000000000000e-01   2.093698227045e+02  -8.577472277846e+00   7.092389493879e+01  -4.218851546261e-01   3.475456120590e-02  -5.235996322092e-02   1.986183632190e+02   2.103537124404e+00  -4.981890465419e+02   9.804660739890e-01  -1.201792696837e-01   1.555267870242e-01   7.419136932913e-03
  1.000000000000e+00   2.091862966999e+02  -1.045180276262e+01   7.136926194447e+01  -4.325444103455e-01   3.804059135345e-02  -6.241353173481e-02   2.207376703933e+02   2.480989547914e+00  -4.978625513773e+02   9.774054611022e-01  -1.415722948803e-01   1.567696555912e-01   7.715850062998e-03
  1.100000000000e+00   2.089997970321e+02  -1.228319340623e+01   7.172464335222e+01  -4.386626577547e-01   4.149247916922e-02  -7.373839117127e-02   2.428611257384e+02   2.852085601846e+00  -4.975292901274e+02   9.737950249860e-01  -1.633888154566e-01   1.580224337177e-01   7.527666681687e-03
  1.200000000000e+00   2.088146037028e+02  -1.401579221938e+01   7.199707605104e+01  -4.411270371907e-01   4.517206315731e-02  -8.626226409310e-02   2.649872766584e+02   3.204985487738e+00  -4.971921650733e+02   9.696418017072e-01  -1.854249248464e-01   1.592705260944e-01   6.758971870783e-03
  1.300000000000e+00   2.086348799121e+02  -1.560181082602e+01   7.219771452900e+01  -4.408167107936e-01   4.912588877730e-02  -9.986020338983e-02   2.871147806473e+02   3.527297389989e+00  -4.968531658485e+02   9.649594770058e-01  -2.075206876931e-01   1.605005234196e-01   5.325680538719e-03
  1.400000000000e+00   2.084644052112e+02  -1.700287742128e+01   7.234029927388e+01  -4.385782131248e-01   5.338464369964e-02  -1.143639063981e-01   3.092424020171e+02   3.806137150633e+00  -4.965133497898e+02   9.597637703176e-01  -2.295585018572e-01   1.616998326352e-01   3.157630821972e-03
  1.500000000000e+00   2.083063157628e+02  -1.819080308051e+01   7.243966164141e+01  -4.352030903612e-01   5.796436264366e-02  -1.295720453535e-01   3.313689988845e+02   4.028176577820e+00  -4.961728362853e+02   9.540681025844e-01  -2.514600689021e-01   1.628565464474e-01   2.002900073980e-04
  1.600000000000e+00   2.081628873560e+02  -1.914779564609e+01   7.251042422040e+01  -4.314088260392e-01   6.286894406163e-02  -1.452609326344e-01   3.534935010990e+02   4.179681900279e+00  -4.958308081157e+02   9.478798950184e-01  -2.731822009814e-01   1.639595900175e-01  -3.584254366218e-03
