  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez
  0.000000000000e+00   1.997885737934e+02   1.038666447831e+00   9.210562932642e+01  -8.033180606150e-02   1.566015219999e-01   9.041393088214e-02   0.000000000000e+00   0.000000000000e+00  -5.000000000000e+02   8.471745632261e-01   4.891164621292e-01   1.797088184334e-01  -1.037549346982e-01
  1.000000000000e-01   1.997884392138e+02   1.038665003742e+00   9.210588232126e+01  -8.033184436438e-02   1.566014517162e-01   9.041398325622e-02   2.024154421779e+01  -7.724649434174e+00  -5.038202542398e+02   8.481595784594e-01   4.873146178860e-01   1.845389785356e-01  -9.536853812036e-02
  2.000000000000e-01   1.997880358343e+02   1.038658546903e+00   9.210661727815e+01  -8.033188019110e-02   1.566011283349e-01   9.041414017507e-02   4.063194929322e+01  -1.504734035688e+01  -5.076404748752e+02   8.490615800558e-01   4.854650739004e-01   1.893510660581e-01  -8.697280654704e-02
  3.000000000000e-01   1.997873654184e+02   1.038644382264e+00   9.210779768691e+01  -8.033179654805e-02   1.566003979542e-01   9.041439687314e-02   6.116322067919e+01  -2.196524802210e+01  -5.114606296485e+02   8.498804819665e-01   4.835680135685e-01   1.941445931794e-01  -7.856856601026e-02
  4.000000000000e-01   1.997864311973e+02   1.038621316545e+00   9.210938679481e+01  -8.033149127321e-02   1.565991260391e-01   9.041474381612e-02   8.182731026575e+01  -2.847570454519e+01  -5.152806876375e+02   8.506162053481e-01   4.816236294513e-01   1.989190676237e-01  -7.015664821637e-02
  5.000000000000e-01   1.997852377304e+02   1.038589558178e+00   9.211134796273e+01  -8.033087931491e-02   1.565971965174e-01   9.041516854459e-02   1.026161194673e+02  -3.457620014372e+01  -5.191006191101e+02   8.512686790271e-01   4.796321228608e-01   2.036739938219e-01  -6.173789005116e-02
  6.000000000000e-01   1.997837907693e+02   1.038550563164e+00   9.211364498356e+01  -8.032989412141e-02   1.565945107832e-01   9.041565738231e-02   1.235215023520e+02  -4.026438431291e+01  -5.229203953823e+02   8.518378399895e-01   4.775937033310e-01   2.084088739725e-01  -5.331313299657e-02
  7.000000000000e-01   1.997820971253e+02   1.038506839399e+00   9.211624236345e+01  -8.032848817255e-02   1.565909866330e-01   9.041619695219e-02   1.445352688111e+02  -4.553806693268e+01  -5.267399886805e+02   8.523236338695e-01   4.755085880143e-01   2.131232089948e-01  -4.488322247521e-02
  8.000000000000e-01   1.997801645429e+02   1.038461722431e+00   9.211910556745e+01  -8.032663271664e-02   1.565865571564e-01   9.041677545767e-02   1.656491877648e+02  -5.039521930329e+01  -5.305593720098e+02   8.527260154146e-01   4.733770010407e-01   2.178164993729e-01  -3.644900714185e-02
  9.000000000000e-01   1.997780015780e+02   1.038419135368e+00   9.212220123060e+01  -8.032431680219e-02   1.565811696021e-01   9.041738370122e-02   1.868549904016e+02  -5.483397510712e+01  -5.343785190273e+02   8.530449489083e-01   4.711991728740e-01   2.224882458925e-01  -2.801133814190e-02
  1.000000000000e+00   1.997756174823e+02   1.038383344999e+00   9.212549733638e+01  -8.032154571373e-02   1.565747842396e-01   9.041801582624e-02   2.081443734478e+02  -5.885263129454e+01  -5.381974039241e+02   8.532804085324e-01   4.689753396955e-01   2.271379502758e-01  -1.957106835788e-02
  1.100000000000e+00   1.997730220947e+02   1.038358725043e+00   9.212896336419e+01  -8.031833893450e-02   1.565673732309e-01   9.041866978139e-02   2.295090024651e+02  -6.244964889184e+01  -5.420160013133e+02   8.534323786591e-01   4.667057428389e-01   2.317651157236e-01  -1.112905166390e-02
  1.200000000000e+00   1.997702257378e+02   1.038349536005e+00   9.213257040780e+01  -8.031472776534e-02   1.565589195275e-01   9.041934751839e-02   2.509405151713e+02  -6.562365373000e+01  -5.458342861276e+02   8.535008540630e-01   4.643906282963e-01   2.363692473742e-01  -2.686142207153e-03
  1.300000000000e+00   1.997672391231e+02   1.038359729408e+00   9.213629126678e+01  -8.031075273027e-02   1.565494158042e-01   9.042005494432e-02   2.724305247826e+02  -6.837343709287e+01  -5.496522335236e+02   8.534858400502e-01   4.620302463078e-01   2.409498526911e-01   5.756806266863e-03
  1.400000000000e+00   1.997640732609e+02   1.038392782360e+00   9.214010051314e+01  -8.030646089439e-02   1.565388634377e-01   9.042080165747e-02   2.939706233727e+02  -7.069795628392e+01  -5.534698187953e+02   8.533873525050e-01   4.596248510433e-01   2.455064417918e-01   1.419894103104e-02
  1.500000000000e+00   1.997607393787e+02   1.038451566513e+00   9.214397453515e+01  -8.030190321068e-02   1.565272715377e-01   9.042160050199e-02   3.155523852477e+02  -7.259633511100e+01  -5.572870172959e+02   8.532054178562e-01   4.571747003769e-01   2.500385277290e-01   2.263941092411e-02
  1.600000000000e+00   1.997572488450e+02   1.038538253622e+00   9.214789156052e+01  -8.029713199911e-02   1.565146560352e-01   9.042246698044e-02   3.371673703315e+02  -7.406786428849e+01  -5.611038043673e+02   8.529400729714e-01   4.546800557536e-01   2.545456267366e-01   3.107736682090e-02
  1.700000000000e+00   1.997536131002e+02   1.038654258151e+00   9.215183166122e+01  -8.029219864541e-02   1.565010388286e-01   9.042341856516e-02   3.588071275598e+02  -7.511200175687e+01  -5.649201552782e+02   8.525913649871e-01   4.521411821394e-01   2.590272584499e-01   3.951196202054e-02
  1.800000000000e+00   1.997498435939e+02   1.038800215788e+00   9.215577674171e+01  -8.028715158923e-02   1.564864469916e-01   9.042447394970e-02   3.804631982808e+02  -7.572837291963e+01  -5.687360451695e+02   8.521593510862e-01   4.495583480460e-01   2.634829461087e-01   4.794235255135e-02
  1.900000000000e+00   1.997459517278e+02   1.038975995356e+00   9.215971051283e+01  -8.028203465229e-02   1.564709120394e-01   9.042565227928e-02   4.021271196570e+02  -7.591677079779e+01  -5.725514490074e+02   8.516440982335e-01   4.469318256172e-01   2.679122167515e-01   5.636769739389e-02
  2.000000000000e+00   1.997419488046e+02   1.039180740471e+00   9.216361845316e+01  -8.027688573824e-02   1.564544692530e-01   9.042697239674e-02   4.237904280687e+02  -7.567715610237e+01  -5.763663415436e+02   8.510456828836e-01   4.442618907627e-01   2.723146014042e-01   6.478715862647e-02
  2.100000000000e+00   1.997378459830e+02   1.039412936420e+00   9.216748775956e+01  -8.027173591765e-02   1.564371570585e-01   9.042845213556e-02   4.454446625141e+02  -7.500965722556e+01  -5.801806972819e+02   8.503641906716e-01   4.415488233242e-01   2.766896352676e-01   7.319990149981e-02
  2.200000000000e+00   1.997336542371e+02   1.039670497189e+00   9.217130728874e+01  -8.026660889438e-02   1.564190164587e-01   9.043010768667e-02   4.670813680044e+02  -7.391457015106e+01  -5.839944904521e+02   8.495997160998e-01   4.387929072593e-01   2.810368579060e-01   8.160509444918e-02
  2.300000000000e+00   1.997293843215e+02   1.039950867185e+00   9.217506749133e+01  -8.026152083488e-02   1.564000905124e-01   9.043195305982e-02   4.886920989519e+02  -7.239235828470e+01  -5.878076949884e+02   8.487523622305e-01   4.359944308282e-01   2.853558134353e-01   9.000190905406e-02
  2.400000000000e+00   1.997250467409e+02   1.040251132203e+00   9.217876033982e+01  -8.025648052870e-02   1.563804238582e-01   9.043399965425e-02   5.102684225478e+02  -7.044365220615e+01  -5.916202845148e+02   8.478222403944e-01   4.331536867706e-01   2.896460507105e-01   9.838951995582e-02
  2.500000000000e+00   1.997206517236e+02   1.040568134301e+00   9.218237925187e+01  -8.025148983891e-02   1.563600622788e-01   9.043625594755e-02   5.318019221290e+02  -6.806924934287e+01  -5.954322323349e+02   8.468094699227e-01   4.302709724619e-01   2.939071235103e-01   1.067671047445e-01
  2.600000000000e+00   1.997162092002e+02   1.040898585654e+00   9.218591900993e+01  -8.024654439316e-02   1.563390523029e-01   9.043872730558e-02   5.532842005299e+02  -6.527011356746e+01  -5.992435114267e+02   8.457141779085e-01   4.273465900382e-01   2.981385907140e-01   1.151338438256e-01
  2.700000000000e+00   1.997117287850e+02   1.041239176973e+00   9.218937567847e+01  -8.024163446193e-02   1.563174408403e-01   9.044141591107e-02   5.747068834194e+02  -6.204737471967e+01  -6.030540944419e+02   8.445364990021e-01   4.243808464843e-01   3.023400164697e-01   1.234889202774e-01
  2.800000000000e+00   1.997072197620e+02   1.041586676737e+00   9.219274651957e+01  -8.023674596834e-02   1.562952748475e-01   9.044432080413e-02   5.960616226191e+02  -5.840232805427e+01  -6.068639537096e+02   8.432765752424e-01   4.213740536806e-01   3.065109703474e-01   1.318315197080e-01
  2.900000000000e+00   1.997026910733e+02   1.041938018244e+00   9.219602990782e+01  -8.023186157421e-02   1.562726010225e-01   9.044743802344e-02   6.173400994036e+02  -5.433643361636e+01  -6.106730612431e+02   8.419345559254e-01   4.183265284043e-01   3.106510274751e-01   1.401608301205e-01
  3.000000000000e+00   1.996981513111e+02   1.042290372260e+00   9.219922524519e+01  -8.022696179025e-02   1.562494655253e-01   9.045076083445e-02   6.385340277780e+02  -4.985131554518e+01  -6.144813887514e+02   8.405105975084e-01   4.152385922885e-01   3.147597686541e-01   1.484760417936e-01
  3.100000000000e+00   1.996936087124e+02   1.042641203856e+00   9.220233287660e+01  -8.022202606205e-02   1.562259137229e-01   9.045428002825e-02   6.596351577350e+02  -4.494876130814e+01  -6.182889076526e+02   8.390048635487e-01   4.121105717375e-01   3.188367804497e-01   1.567763471823e-01
  3.200000000000e+00   1.996890711563e+02   1.042988312807e+00   9.220535400660e+01  -8.021703379041e-02   1.562019899580e-01   9.045798427378e-02   6.806352784863e+02  -3.963072086628e+01  -6.220955890915e+02   8.374175246727e-01   4.089427978050e-01   3.228816552578e-01   1.650609408433e-01
  3.300000000000e+00   1.996845461637e+02   1.043329857626e+00   9.220829061775e+01  -8.021196525077e-02   1.561777373403e-01   9.046186050535e-02   7.015262216702e+02  -3.389930577260e+01  -6.259014039589e+02   8.357487585718e-01   4.057356060385e-01   3.268939913430e-01   1.733290193870e-01
  3.400000000000e+00   1.996800408986e+02   1.043664363989e+00   9.221114539114e+01  -8.020680238505e-02   1.561531975599e-01   9.046589432804e-02   7.222998645325e+02  -2.775678820475e+01  -6.297063229139e+02   8.339987500209e-01   4.024893362969e-01   3.308733928505e-01   1.815797814567e-01
  3.500000000000e+00   1.996755621720e+02   1.043990718799e+00   9.221392162918e+01  -8.020152944654e-02   1.561284107223e-01   9.047007042424e-02   7.429481330798e+02  -2.120559993337e+01  -6.335103164086e+02   8.321676909135e-01   3.992043325482e-01   3.348194697912e-01   1.898124277350e-01
  3.600000000000e+00   1.996711164471e+02   1.044308151648e+00   9.221662318123e+01  -8.019613348713e-02   1.561034152047e-01   9.047437294650e-02   7.634630052046e+02  -1.424833122744e+01  -6.373133547142e+02   8.302557803095e-01   3.958809426528e-01   3.387318380012e-01   1.980261609758e-01
  3.700000000000e+00   1.996667098461e+02   1.044616205696e+00   9.221925437211e+01  -8.019060468314e-02   1.560782475343e-01   9.047878588349e-02   7.838365137813e+02  -6.887729698020e+00  -6.411154079494e+02   8.282632244909e-01   3.925195181426e-01   3.426101190780e-01   2.062201860583e-01
  3.800000000000e+00   1.996623481579e+02   1.044914700241e+00   9.222181993376e+01  -8.018493650347e-02   1.560529422879e-01   9.048329338862e-02   8.040607497319e+02   8.733009184252e-01  -6.449164461101e+02   8.261902370200e-01   3.891204139994e-01   3.464539402971e-01   2.143937100611e-01
  3.900000000000e+00   1.996580368478e+02   1.045203687322e+00   9.222432494028e+01  -8.017912572945e-02   1.560275320118e-01   9.048788006302e-02   8.241278650599e+02   9.031702035793e+00  -6.487164391006e+02   8.240370387980e-01   3.856839884410e-01   3.502629345105e-01   2.225459423511e-01
  4.000000000000e+00   1.996537810670e+02   1.045483404708e+00   9.222677474635e+01  -8.017317234109e-02   1.560020471638e-01   9.049253118751e-02   8.440300758541e+02   1.758426155208e+01  -6.525153567654e+02   8.218038581178e-01   3.822106027189e-01   3.540367400320e-01   2.306760946846e-01
  4.100000000000e+00   1.996495856637e+02   1.045754227520e+00   9.222917492923e+01  -8.016707928822e-02   1.559765160751e-01   9.049723290044e-02   8.637596652578e+02   2.652761523991e+01  -6.563131689233e+02   8.194909307124e-01   3.787006209336e-01   3.577750005129e-01   2.387833813147e-01
  4.200000000000e+00   1.996454551939e+02   1.046016620523e+00   9.223153123441e+01  -8.016085216767e-02   1.559509649321e-01   9.050197232103e-02   8.833089864067e+02   3.585824819272e+01  -6.601098454003e+02   8.170984997922e-01   3.751544098695e-01   3.614773648117e-01   2.468670191034e-01
  4.300000000000e+00   1.996413939340e+02   1.046271092939e+00   9.223384952487e+01  -8.015449882950e-02   1.559254177770e-01   9.050673761957e-02   9.026704653318e+02   4.557249632566e+01  -6.639053560647e+02   8.146268160746e-01   3.715723388525e-01   3.651434868610e-01   2.549262276313e-01
  4.400000000000e+00   1.996374058919e+02   1.046518157270e+00   9.223613573412e+01  -8.014802893556e-02   1.558998965271e-01   9.051151803834e-02   9.218366038280e+02   5.566654793002e+01  -6.676996708621e+02   8.120761378012e-01   3.679547796309e-01   3.687730255365e-01   2.629602293060e-01
  4.500000000000e+00   1.996334948194e+02   1.046758293347e+00   9.223839582291e+01  -8.014145349315e-02   1.558744210104e-01   9.051630386794e-02   9.407999822882e+02   6.613644528042e+01  -6.714927598498e+02   8.094467307460e-01   3.643021062813e-01   3.723656445303e-01   2.709682494622e-01
  4.600000000000e+00   1.996296642246e+02   1.046991918460e+00   9.224063573961e+01  -8.013478438542e-02   1.558490090162e-01   9.052108638570e-02   9.595532625008e+02   7.697808629366e+01  -6.752845932323e+02   8.067388682119e-01   3.606146951370e-01   3.759210122305e-01   2.789495164548e-01
  4.700000000000e+00   1.996259173834e+02   1.047219364085e+00   9.224286138424e+01  -8.012803391766e-02   1.558236763605e-01   9.052585776293e-02   9.780891904118e+02   8.818722623847e+01  -6.790751413964e+02   8.039528310197e-01   3.568929247388e-01   3.794388016114e-01   2.869032617413e-01
  4.800000000000e+00   1.996222573515e+02   1.047440859418e+00   9.224507857616e+01  -8.012121439632e-02   1.557984369622e-01   9.053061094874e-02   9.964005988495e+02   9.975947949520e+01  -6.828643749454e+02   8.010889074878e-01   3.531371758049e-01   3.829186901337e-01   2.948287199546e-01
  4.900000000000e+00   1.996186869754e+02   1.047656521613e+00   9.224729302512e+01  -8.011433775425e-02   1.557733029304e-01   9.053533953797e-02   1.014480410212e+03   1.116903213648e+02  -6.866522647337e+02   7.981473934058e-01   3.493478312192e-01   3.863603596576e-01   3.027251289644e-01
  5.000000000000e+00   1.996152089041e+02   1.047866352356e+00   9.224951030586e+01  -8.010741523250e-02   1.557482846595e-01   9.054003763074e-02   1.032321639116e+03   1.239750899258e+02  -6.904387819005e+02   7.951285920034e-01   3.455252760320e-01   3.897634963677e-01   3.105917299288e-01
  5.100000000000e+00   1.996118255987e+02   1.048070240224e+00   9.225173583595e+01  -8.010045712555e-02   1.557233909314e-01   9.054469969041e-02   1.049917395009e+03   1.366089879394e+02  -6.942238979027e+02   7.920328139154e-01   3.416698974732e-01   3.931277907122e-01   3.184277673366e-01
  5.200000000000e+00   1.996085393433e+02   1.048267968045e+00   9.225397485673e+01  -8.009347259367e-02   1.556986290214e-01   9.054932040632e-02   1.067260884739e+03   1.495870848012e+02  -6.980075845474e+02   7.888603771448e-01   3.377820849723e-01   3.964529373533e-01   3.262324890410e-01
  5.300000000000e+00   1.996053522537e+02   1.048459224413e+00   9.225623241737e+01  -8.008646954268e-02   1.556740048077e-01   9.055389456652e-02   1.084345415087e+03   1.629043185385e+02  -7.017898140233e+02   7.856116070259e-01   3.338622301832e-01   3.997386351297e-01   3.340051462884e-01
  5.400000000000e+00   1.996022662862e+02   1.048643618399e+00   9.225851336172e+01  -8.007945456912e-02   1.556495228815e-01   9.055841694482e-02   1.101164395261e+03   1.765554978536e+02  -7.055705589317e+02   7.822868361871e-01   3.299107270108e-01   4.029845870301e-01   3.417449937410e-01
  5.500000000000e+00   1.995992832463e+02   1.048820696475e+00   9.226082231784e+01  -8.007243296580e-02   1.556251866569e-01   9.056288220547e-02   1.117711339340e+03   1.905353042114e+02  -7.093497923157e+02   7.788864045159e-01   3.259279716359e-01   4.061905001760e-01   3.494512894977e-01
