  Time[s]              udot                vdot                 wdot                  pdot               qdot                 rdot                 xdot                  ydot                 zdot                   e0dot                exdot               eydot              ezdot       
  0.000000000000e+00  -1.421085471520e-14   0.000000000000e+00   4.963925653862e-15   0.000000000000e+00  -5.529117268026e-17   0.000000000000e+00   1.102467367282e-02   0.000000000000e+00  -2.199999997238e+02  -0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  0.000000000000e+00  -8.932822022807e-03   0.000000000000e+00   4.192418742219e-15  -7.260837369002e-22  -5.663392678728e-17  -7.021274099394e-21   1.102467367282e-02   0.000000000000e+00  -2.199999997238e+02   9.774190785493e-19   0.000000000000e+00  -9.774190785493e-19   0.000000000000e+00
  0.000000000000e+00  -8.928828949671e-03   7.659776197644e-20  -9.272540651911e-09  -6.481608689802e-22  -5.321362371489e-11  -7.105928277149e-21   1.102467367281e-02   0.000000000000e+00  -2.199995530827e+02   1.001155841913e-18  -1.369552315581e-22  -1.001155841913e-18  -1.112842948545e-22
  0.000000000000e+00  -1.785581928277e-02   1.529836436790e-19  -1.923975655606e-08  -1.397602706835e-15  -1.015843700195e-10  -1.351490349522e-14   1.102467274558e-02  -6.355393193630e-23  -2.199991068409e+02   1.881385709016e-12  -2.741484508577e-22  -1.881385709016e-12  -2.283165562820e-22

  1.000000000000e-01  -1.785583044397e-02   4.914655318133e-14  -1.898126839223e-08  -8.492472136037e-16  -1.031943645956e-10  -8.749878423212e-15   1.102467306255e-02  -7.694179439253e-23  -2.199991067384e+02   1.225721203776e-12  -8.787296818594e-17  -1.225721203776e-12  -7.140202993790e-17
  1.000000000000e-01  -2.677702548507e-02   1.439417449498e-13  -3.815905416385e-08  -2.142086788651e-15  -2.047246481351e-10  -2.172801612438e-14   1.102467215162e-02  -2.037694984497e-17  -2.199982139469e+02   3.049957078421e-12  -2.575631389673e-16  -3.049957078422e-12  -2.110667775371e-16
  1.000000000000e-01  -2.677300411802e-02   2.842452847290e-13  -4.805083265237e-08  -3.404676313930e-15  -2.531171114586e-10  -3.442512843138e-14   1.102467124950e-02  -9.297323698832e-17  -2.199977678871e+02   4.844775878084e-12  -5.098407591215e-16  -4.844775878087e-12  -4.176356161662e-16
  1.000000000000e-01  -3.568834512714e-02   7.925856507735e-13  -7.766228503089e-08  -7.196282500503e-15  -3.982182905195e-10  -7.197026781944e-14   1.102466855896e-02  -4.311522237941e-16  -2.199964294380e+02   1.017476250110e-11  -1.425358541504e-15  -1.017476250112e-11  -1.168140632324e-15

  2.000000000000e-01  -3.568835625821e-02   7.434349012790e-13  -7.745209552747e-08  -6.807935652014e-15  -3.998050988211e-10  -6.772535260816e-14   1.102466886016e-02  -4.508692116237e-16  -2.199964293345e+02   9.576040490793e-12  -1.338070114963e-15  -9.576040490806e-12  -1.096043239614e-15
  2.000000000000e-01  -4.459787958235e-02   1.472216154015e-12  -1.168841520707e-07  -1.195546900357e-14  -5.931936779035e-10  -1.173758987735e-13   1.102466528550e-02  -1.143697852680e-15  -2.199946449167e+02   1.664366290401e-11  -2.655644953785e-15  -1.664366290406e-11  -2.172921205167e-15
  2.000000000000e-01  -4.459383004360e-02   2.003990846316e-12  -1.272584259026e-07  -1.460938206679e-14  -6.368747449850e-10  -1.410400704696e-13   1.102466353379e-02  -1.952274503469e-15  -2.199941994405e+02   2.006232229583e-11  -3.624347294345e-15  -2.006232229590e-11  -2.959630758764e-15
  2.000000000000e-01  -5.349747719430e-02   3.766401300530e-12  -1.774636752124e-07  -2.404242088357e-14  -8.691761398684e-10  -2.244525304499e-13   1.102465738265e-02  -4.888011736004e-15  -2.199919699515e+02   3.209296303795e-11  -6.841109283783e-15  -3.209296303818e-11  -5.566043095606e-15

  3.000000000000e-01  -5.349748829543e-02   3.633545724657e-12  -1.772986689990e-07  -2.360136976517e-14  -8.707300681435e-10  -2.207779688731e-13   1.102465766692e-02  -4.721649186402e-15  -2.199919698470e+02   3.155007953546e-11  -6.600063446917e-15  -3.155007953567e-11  -5.368322088670e-15
  3.000000000000e-01  -6.239529556938e-02   5.992720805422e-12  -2.377982349696e-07  -3.592633337193e-14  -1.146560073526e-09  -3.272246019523e-13   1.102464978354e-02  -9.216003374497e-15  -2.199892949725e+02   4.694255792948e-11  -1.092012063524e-14  -4.694255793001e-11  -8.853944846691e-15
