  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez
  0.000000000000e+00   2.097060887872e+02   0.000000000000e+00   6.650831771715e+01   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00  -5.000000000000e+02   9.882331441738e-01   0.000000000000e+00   1.529550677693e-01   0.000000000000e+00
  1.000000000000e-01   2.097060887872e+02   5.428479513665e-21   6.650831771715e+01  -1.131865091910e-22  -6.518039852430e-18  -8.192520077407e-22   2.200000000000e+01  -1.419681274287e-24  -5.000000000000e+02   9.882331441738e-01  -3.817832724456e-24   1.529550677693e-01  -1.327736186935e-23
  2.000000000000e-01   2.097060887872e+02   4.230404087074e-20   6.650831771715e+01  -5.775790018994e-22  -1.303607923963e-17  -3.233958390728e-21   4.400000000000e+01  -4.132416638526e-23  -5.000000000000e+02   9.882331441738e-01  -3.350845782446e-23   1.529550677693e-01  -1.046616678543e-22
  3.000000000000e-01   2.097060887872e+02   1.387633812895e-19   6.650831771715e+01  -1.607766661009e-21  -1.955411771569e-17  -7.160098779631e-21   6.600000000000e+01  -2.635666291263e-22  -5.000000000000e+02   9.882331441738e-01  -1.234958738740e-22   1.529550677693e-01  -3.475256261614e-22
  4.000000000000e-01   2.097060887872e+02   3.186976793975e-19   6.650831771715e+01  -3.441123449789e-21  -2.607215486211e-17  -1.249112318182e-20   8.800000000000e+01  -9.935712641876e-22  -5.000000000000e+02   9.882331441738e-01  -3.187043988993e-22   1.529550677693e-01  -8.087775008780e-22
  5.000000000000e-01   2.097060887872e+02   6.012426319352e-19   6.650831771715e+01  -6.322462520063e-21  -3.259019029366e-17  -1.910252860115e-20   1.100000000000e+02  -2.810419356833e-21  -5.000000000000e+02   9.882331441738e-01  -6.751447980854e-22   1.529550677693e-01  -1.547744482785e-21
  6.000000000000e-01   2.097060887872e+02   1.000470774711e-18   6.650831771715e+01  -1.049020176756e-20  -3.910822366273e-17  -2.685676062546e-20   1.320000000000e+02  -6.617172027840e-21  -5.000000000000e+02   9.882331441738e-01  -1.259814532430e-21   1.529550677693e-01  -2.615402839163e-21
  7.000000000000e-01   2.097060887872e+02   1.525280218850e-18   6.650831771715e+01  -1.616432801154e-20  -4.562625466247e-17  -3.560824306575e-20   1.540000000000e+02  -1.370887039147e-20  -5.000000000000e+02   9.882331441738e-01  -2.149995933024e-21   1.529550677693e-01  -4.053953294319e-21
  8.000000000000e-01   2.097060887872e+02   2.179467877628e-18   6.650831771715e+01  -2.353637055872e-20  -5.214428302827e-17  -4.520835058667e-20   1.760000000000e+02  -2.583762886948e-20  -5.000000000000e+02   9.882331441738e-01  -3.432046963563e-21   1.529550677693e-01  -5.896728725301e-21
  9.000000000000e-01   2.097060887872e+02   2.961970068203e-18   6.650831771715e+01  -3.276151656722e-20  -5.866230853803e-17  -5.551015629419e-20   1.980000000000e+02  -4.527424854149e-20  -5.000000000000e+02   9.882331441738e-01  -5.199786359777e-21   1.529550677693e-01  -8.168411202008e-21
