  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez                  gamma[deg]
  0.000000000000e+00   2.199999997238e+02   0.000000000000e+00   1.102467367278e-02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00  -4.774000000000e+03   7.071067811865e-01   0.000000000000e+00   7.071067811865e-01   0.000000000000e+00   8.999712877357e+01
  1.000000000000e-01   2.199991067384e+02   5.102986127199e-21   1.102467304303e-02  -2.329342425541e-17  -3.466863100138e-12  -2.252488624937e-16   1.102467351828e-03  -1.059232198938e-24  -4.795999970203e+03   7.071067811866e-01  -9.134315232897e-24   7.071067811865e-01  -7.514752433184e-24   8.999712873993e+01
  2.000000000000e-01   2.199964293345e+02   2.830177615819e-14   1.102466855864e-02  -3.422776895765e-16  -2.708513267185e-11  -3.442356118396e-15   2.204934492224e-03  -1.096421229927e-17  -4.817999761867e+03   7.071067811870e-01  -5.080066423211e-17   7.071067811861e-01  -4.161579834256e-17   8.999712868472e+01
  3.000000000000e-01   2.199919698470e+02   2.193392795327e-13   1.102465617196e-02  -1.741945334182e-15  -8.923710074629e-11  -1.692585314414e-14   3.307400890247e-03  -2.031446399647e-16  -4.839999196667e+03   7.071067811890e-01  -3.964533958155e-16   7.071067811841e-01  -3.237356360606e-16   8.999712860983e+01
  4.000000000000e-01   2.199857306196e+02   9.052980127475e-13   1.102463167240e-02  -5.685192218526e-15  -2.064219649627e-10  -5.197214139983e-14   4.409865686033e-03  -1.424856123824e-15  -4.861998096512e+03   7.071067811940e-01  -1.650506075397e-15   7.071067811791e-01  -1.336637843977e-15   8.999712851577e+01
  5.000000000000e-01   2.199777140050e+02   2.689270919737e-12   1.102459073523e-02  -1.462139558214e-14  -3.933160733288e-10  -1.231539642411e-13   5.512327713280e-03  -6.325777549798e-15  -4.883996283545e+03   7.071067812044e-01  -4.954120018774e-15   7.071067811687e-01  -3.962046987685e-15   8.999712840421e+01
  6.000000000000e-01   2.199679223644e+02   6.500091358925e-12   1.102452896653e-02  -3.240070572676e-14  -6.628411437452e-10  -2.475591785047e-13   6.614785522374e-03  -2.127897622330e-14  -4.905993580145e+03   7.071067812228e-01  -1.212043516375e-14   7.071067811503e-01  -9.533571379298e-15   8.999712827577e+01
  7.000000000000e-01   2.199563580679e+02   1.362914226134e-11   1.102444194434e-02  -6.474479368046e-14  -1.026239157207e-09  -4.440301567165e-13   7.717237403953e-03  -5.924544107919e-14  -4.927989808929e+03   7.071067812523e-01  -2.576776715611e-14   7.071067811207e-01  -1.985441067948e-14   8.999712813210e+01
  8.000000000000e-01   2.199430234940e+02   2.574978286472e-11   1.102432525599e-02  -1.197313292180e-13  -1.493152705496e-09  -7.324191215543e-13   8.819681412693e-03  -1.436782623735e-13  -4.949984792749e+03   7.071067812966e-01  -4.944315411058e-14   7.071067810765e-01  -3.717140816692e-14   8.999712797423e+01
  9.000000000000e-01   2.199279210295e+02   4.492034259144e-11   1.102417453186e-02  -2.082559085231e-13  -2.071709641057e-09  -1.132873462572e-12   9.922115391082e-03  -3.135183899236e-13  -4.971978354698e+03   7.071067813592e-01  -8.773689399151e-14   7.071067810138e-01  -6.410643802042e-14   8.999712780305e+01
  1.000000000000e+00   2.199110530700e+02   7.357190204037e-11   1.102398547545e-02  -3.444414466039e-13  -2.768610973160e-09  -1.665163644742e-12   1.102453699305e-02  -6.292909657311e-13  -4.993970318106e+03   7.071067814445e-01  -1.463880144178e-13   7.071067809286e-01  -1.035477606064e-13   8.999712762007e+01
  1.100000000000e+00   2.198924220191e+02   1.144823109186e-10   1.102375389012e-02  -5.459711348326e-13  -3.589221017334e-09  -2.348064726769e-12   1.212694370728e-02  -1.180271289600e-12  -5.015960506542e+03   7.071067815565e-01  -2.323800829531e-13   7.071067808166e-01  -1.585053487031e-13   8.999712742620e+01
