  Time[s]              udot                vdot                 wdot                  pdot               qdot                 rdot                 xdot                  ydot                 zdot                   e0dot                exdot               eydot              ezdot       
  0.000000000000e+00   0.000000000000e+00   2.919815217401e-19  -4.768577605825e-03   0.000000000000e+00   3.849399070582e-17   0.000000000000e+00   9.967493497243e-11  -1.996610625803e-18  -2.200000000000e+02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00
  0.000000000000e+00  -8.681959250204e-03   2.899631831646e-19  -4.655563400503e-03   1.455495152228e-22   6.438565865014e-07   5.019199093299e-21   2.384289793156e-04  -1.982011549715e-18  -2.199999999823e+02  -4.166471039321e-35   6.804588309241e-19   4.166779826068e-35   6.805092612924e-19
  0.000000000000e+00  -8.677228448874e-03   2.352792100503e-19  -4.651679880691e-03   8.455125360345e-12   6.109409581433e-07   8.176157884499e-11   2.327460982769e-04  -1.982602622353e-18  -2.199995658848e+02   8.545449291146e-23   1.138146219969e-08  -9.060696929372e-23   1.138230570602e-08
  0.000000000000e+00  -1.735270295890e-02  -1.781916757838e-09  -4.535809438131e-03   1.351954610595e-11   1.222232492571e-06   1.528929593055e-10   4.658120193994e-04  -1.968608133659e-18  -2.199991322427e+02   2.591656319795e-12   2.159922428670e-08  -3.189738205600e-12   2.160082512441e-08

  1.000000000000e-01  -1.735271950740e-02  -1.140851410172e-09  -4.535479761413e-03   1.549059757537e-11   1.222026400119e-06   1.562351528783e-10   4.657104330477e-04  -2.802933658756e-13  -2.199991321142e+02   1.685114818174e-12   2.198919003869e-08  -2.043871590855e-12   2.199081975411e-08
  1.000000000000e-01  -2.602176133344e-02  -2.826993143242e-09  -4.415774002029e-03   3.057695042421e-11   1.800114526392e-06   3.087385177601e-10   6.931042815808e-04  -1.246375597551e-12  -2.199982644614e+02   4.173038062467e-12   4.359096831259e-08  -5.079674851207e-12   4.359419916621e-08
  1.000000000000e-01  -2.601699200054e-02  -4.464611176863e-09  -4.412813639163e-03   3.793754236175e-11   1.768108714584e-06   3.792768015316e-10   6.877589763121e-04  -2.866997244605e-12  -2.199978310098e+02   6.602140802758e-12   5.380984038002e-08  -8.042360514804e-12   5.381382879529e-08
  1.000000000000e-01  -3.467952185557e-02  -9.278524925171e-09  -4.291098851164e-03   6.139111984793e-11   2.314778177027e-06   5.907682490483e-10   9.101473894901e-04  -9.440118285275e-12  -2.199965303823e+02   1.375273342375e-11   8.449895601392e-08  -1.679507338721e-11   8.450521988873e-08

  2.000000000000e-01  -3.467953674692e-02  -8.732631932989e-09  -4.290793221283e-03   6.167912563493e-11   2.314500172256e-06   5.944742292995e-10   9.100382166451e-04  -9.138295315120e-12  -2.199965302524e+02   1.293422166359e-11   8.487959386064e-08  -1.581486742081e-11   8.488588586567e-08
  2.000000000000e-01  -4.333560183692e-02  -1.508486798320e-08  -4.166162576677e-03   9.363576657088e-11   2.828901904641e-06   8.762336665380e-10   1.127090213231e-03  -1.972201059756e-11  -2.199947962596e+02   2.235236754684e-11   1.257930458206e-07  -2.741447864304e-11   1.258023721925e-07
