  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez                  gamma[deg]
  0.000000000000e+00   2.199999993959e+02   0.000000000000e+00   1.630410147365e-02   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00   0.000000000000e+00  -5.000000000000e+02   4.329797716128e-17   7.071329823847e-01   4.329476848646e-17  -7.070805790175e-01   8.999987871305e+01
  1.000000000000e-01   2.199991315445e+02  -2.969861260826e-11   1.583878691355e-02   5.071632804488e-13   6.219712636499e-08   5.273601950091e-12   2.346937123766e-05  -1.982407850600e-19  -5.219999710663e+02   4.323756997659e-14   7.071329831241e-01  -5.311900866121e-14  -7.070805782781e-01   8.999976298899e+01
  2.000000000000e-01   2.199965297154e+02  -4.464083622008e-10   1.539739101530e-02   4.072341663702e-12   2.400846440166e-07   4.065750262526e-11   9.242911020972e-05  -2.991194871652e-13  -5.439997686236e+02   6.597076695162e-13   7.071329881456e-01  -8.045026038294e-13  -7.070805732562e-01   8.999965246274e+01
  3.000000000000e-01   2.199921965043e+02  -2.173297370508e-09   1.498090086195e-02   1.417419479789e-11   5.209270460745e-07   1.319828488711e-10   2.048113320093e-04  -3.094558648788e-12  -5.659992194040e+02   3.217922196909e-12   7.071330013129e-01  -3.956102475750e-12  -7.070805600879e-01   8.999954674509e+01
  4.000000000000e-01   2.199861345172e+02  -6.609598388652e-09   1.458997940185e-02   3.587927375615e-11   8.924706116327e-07   3.002077295729e-10   3.586924585512e-04  -1.562084050666e-11  -5.879981503998e+02   9.765968328985e-12   7.071330260477e-01  -1.218553756967e-11  -7.070805353512e-01   8.999944544658e+01
  5.000000000000e-01   2.199783463684e+02  -1.551043611283e-08   1.422499434157e-02   7.667524130317e-11   1.342998371719e-06   5.613090735981e-10   5.522971911527e-04  -5.462357699665e-11  -6.099963888642e+02   2.278491528753e-11   7.071330653480e-01  -2.904355795009e-11  -7.070804960480e-01   8.999934817024e+01
  6.000000000000e-01   2.199688346794e+02  -3.086884641089e-08   1.388604650488e-02   1.469226323152e-10   1.861374440739e-06   9.262942801520e-10   7.840007851234e-04  -1.518085772966e-10  -6.319937623121e+02   4.491794534813e-11   7.071331218075e-01  -5.887241476192e-11  -7.070804395843e-01   8.999925452115e+01
  7.000000000000e-01   2.199576020772e+02  -5.480247250565e-08   1.357299746742e-02   2.599813434155e-10   2.437078477796e-06   1.401324285532e-09   1.052329790079e-03  -3.599424706136e-10  -6.539900985211e+02   7.869183342915e-11   7.071331976371e-01  -1.067366973623e-10  -7.070803637490e-01   8.999916410633e+01
  8.000000000000e-01   2.199446511933e+02  -8.944715210467e-08   1.328549630326e-02   4.320662017984e-10   3.060231046288e-06   1.987937973237e-09   1.355961415378e-03  -7.592924172690e-10  -6.759852255316e+02   1.262450750504e-10   7.071332946871e-01  -1.783598711106e-10  -7.070802666918e-01   8.999907654088e+01
  9.000000000000e-01   2.199299846627e+02  -1.368593096861e-07   1.302300530544e-02   6.818837262368e-10   3.721610636948e-06   2.683366355759e-09   1.693721674926e-03  -1.464110198299e-09  -6.979789716472e+02   1.890746952578e-10   7.071334144699e-01  -2.800612484801e-10  -7.070801469000e-01   8.999899144792e+01
